bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://dienthoaimoi.vn/dong-ho-apple-watch-series-6-aluminum-ban-nhom-p409.html,Apple Watch Series 6 40mm GPS ,watchOS 7.0 - chip Apple S6,,,8.790.000 VND,,,,,1.57 inches,"Retina LTPO OLED, 1000 nits",,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-5-44mm-nhom-cu-99-p249.html,Apple Watch Series 5 LTE 44mm Nhôm Cũ 99% ,watchOS 6.0,,,7.490.000 VND,,,,,1.78 inch,OLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-5-40mm-nhom-cu-99-p247.html,Apple Watch Series 5 LTE 40mm Nhôm Cũ 99% ,watchOS 6.0,,,7.390.000 VND,,,,,1.57 inch,OLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-5-gps-44mm-nhom-cu-p530.html,Apple Watch Series 5 GPS 44mm Nhôm cũ,watchOS 6.0,,,7.390.000 VND,,,,,1.57 inch,OLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-5-gps-40mm-nhom-cu-p527.html,Apple Watch Series 5 GPS 40mm Nhôm cũ,watchOS 6.0,,,6.790.000 VND,,,,,1.57 inch,OLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-5-44mm-thep-cu-99-p248.html,Apple Watch Series 5 LTE 44mm Thép Cũ 99%,watchOS 6.0,,,11.490.000 VND,,,,,1.78 inch,OLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-5-40mm-thep-cu-p529.html,Apple Watch Series 5 LTE 40mm Thép Cũ ,watchOS 6.0,,,10.890.000 VND,,,,,1.78 inch,OLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-4-44mm-nhom-cu-99-1-p246.html,Apple Watch Series 4 LTE 44mm Nhôm Cũ 99%   ,watchOS 5.0,,,6.690.000 VND,,,,,2.2 inch,AMOLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-4-40mm-nhom-cu-99-1-p245.html,Apple Watch Series 4 LTE 40mm Nhôm Cũ 99%  ,watchOS 5.0,,,6.190.000 VND,,,,,2.0 inch,AMOLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-4-44mm-nhom-cu-99-p244.html,Apple Watch Series 4 GPS 44mm Nhôm Cũ 99%,watchOS 5.0,,,6.290.000 VND,,,,,2.2 inch,AMOLED,,,,,,
,,,,,https://dienthoaimoi.vn/apple-watch-series-4-40mm-nhom-cu-99-p243.html,Apple Watch Series 4 GPS 40mm Nhôm Cũ 99%  ,watchOS 5.0,,,5.790.000 VND,,,,,2.0 inch,AMOLED,,,,,,
