bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
, Hồng ,,,,https://www.nguyenkim.com/apple-watch-se-gps-44mm-vo-nhom-day-cao-su-hong.html,Apple Watch SE GPS 44mm Vỏ nhôm Dây cao su Hồng,,,,9.490.000 VND,,,,,,,,,,,,
, Trắng ,,,,https://www.nguyenkim.com/apple-watch-se-gps-44mm-vo-nhom-day-cao-su-trang.html,Apple Watch SE GPS 44mm Vỏ nhôm Dây cao su Trắng,,,,9.490.000 VND,,,,,,,,,,,,
, Trắng ,,,,https://www.nguyenkim.com/apple-watch-s6-gps-40mm-vo-nhom-day-cao-su-trang.html,Apple Watch S6 GPS 40mm Vỏ nhôm Dây cao su Trắng,,,,10.490.000 VND,,,,,,,,,,,,
, Xanh ,,,,https://www.nguyenkim.com/apple-watch-s6-gps-40mm-vo-nhom-day-cao-su-xanh-vi.html,Apple Watch S6 GPS 40mm vỏ nhôm dây cao su Xanh,,,,11.990.000 VND,,,,,,,,,,,,
, Space Grey ,,,,https://www.nguyenkim.com/apple-watch-ser-5-gps-40mm-space-grey-black-sport-band-vi.html,Apple Watch Series-5 GPS 40mm Space Grey - Black Sport Band,,,,10.700.000 VND,,,,,,,,,,,,
, Đen ,,,,https://www.nguyenkim.com/apple-watch-se-gps-44mm-vo-nhom-day-cao-su-den.html,Apple Watch SE GPS 44mm Vỏ nhôm Dây cao su Đen,,,,8.490.000 VND,,,,,,,,,,,,
, Đen ,,,,https://www.nguyenkim.com/apple-watch-s6-gps-40mm-vo-nhom-day-cao-su-den-vi.html,Apple Watch S6 GPS 40mm vỏ nhôm dây cao su Đen,,,,11.990.000 VND,,,,,,,,,,,,
, Xanh ,,,,https://www.nguyenkim.com/apple-watch-s6-gps-44mm-vo-nhom-day-cao-su-xanh.html,Apple Watch S6 GPS 44mm vỏ nhôm dây cao su Xanh,,,,12.990.000 VND,,,,,,,,,,,,
, Xám ,,,,https://www.nguyenkim.com/apple-watch-s5-gps-44mm-vien-nhom-day-cao-su.html,"Apple Watch S5 GPS 44mm viền nhôm, dây cao su",,,,10.990.000 VND,,,,,,,,,,,,
, Hồng ,,,,https://www.nguyenkim.com/apple-watch-s6-gps-44mm-vo-nhom-day-cao-su-hong.html,Apple Watch S6 GPS 44mm vỏ nhôm dây cao su Hồng,,,,12.990.000 VND,,,,,,,,,,,,
, Gold ,,,,https://www.nguyenkim.com/apple-watch-ser-5-gps-40mm-gold-pink-sand-sport-band-vi.html,Apple Watch Series-5 GPS 40mm Gold - Pink Sand Sport Band,,,,10.700.000 VND,,,,,,,,,,,,
, Hồng ,,,,https://www.nguyenkim.com/apple-watch-s6-gps-40mm-vo-nhom-day-cao-su-hong.html,Apple Watch S6 GPS 40mm vỏ nhôm dây cao su Hồng,,,,11.990.000 VND,,,,,,,,,,,,
, GREY ,,,,https://www.nguyenkim.com/apple-watch-series-3-42mm-vien-nhom-xam-day-cao-su-den.html,"Apple Watch Series 3 42mm viền nhôm xám, dây cao su đen",,,,6.390.000 VND,,,,,,,,,,,,
, Trắng ,,,,https://www.nguyenkim.com/apple-watch-se-lte-44mm-vo-nhom-day-cao-su-trang.html,Apple Watch SE LTE 44mm Vỏ nhôm Dây cao su Trắng,,,,10.990.000 VND,,,,,,,,,,,,
, Hồng ,,,,https://www.nguyenkim.com/apple-watch-se-lte-44mm-vo-nhom-day-cao-su-hong.html,Apple Watch SE LTE 44mm Vỏ nhôm Dây cao su Hồng,,,,10.990.000 VND,,,,,,,,,,,,
, Bạc - Trắng ,,,,https://www.nguyenkim.com/apple-watch-s3-gps-38mm-vien-nhom-day-cao-su.html,"Apple Watch S3 GPS 38mm viền nhôm, dây cao su",,,,5.390.000 VND,,,,,,,,,,,,
, Đỏ ,,,,https://www.nguyenkim.com/apple-watch-s6-gps-44mm-vo-nhom-day-cao-su-do.html,Apple Watch S6 GPS 44mm Vỏ nhôm Dây cao su Đỏ,,,,12.990.000 VND,,,,,,,,,,,,
, Silver ,,,,https://www.nguyenkim.com/apple-watch-series-3-42mm-vien-nhom-bac-day-cao-su-trang.html,"Apple Watch Series 3 42mm viền nhôm bạc, dây cao su trắng",,,,6.390.000 VND,,,,,,,,,,,,
