bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-thep-milan-lte-44mm-new-100-dp331.html,Đồng hồ Apple watch series 6 - Thép Milan - LTE 44mm - New 100%,,,,"19,390,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-thep-milan-lte-40mm-new-100-dp329.html,Đồng hồ Apple watch series 6 - Thép Milan - LTE 40mm - New 100%,,,,"18,290,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6---thep---lte-44mm---new-100-dp371.html,Đồng hồ Apple watch series 6 - Thép - LTE 44mm - New 100%,,,,"16,990,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6---thep---lte-40mm---new-100-dp372.html,Đồng hồ Apple watch series 6 - Thép - LTE 40mm - New 100%,,,,"16,390,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-thep-milan-lte-44mm-new-100-dp213.html,Đồng hồ Apple watch series 5 - Thép - Milan - LTE 44mm - New 100%,,,,"14,990,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-thep-milan-lte-40mm-new-100-dp208.html,Đồng hồ Apple watch series 5 - Thép - Milan - LTE 40mm - New 100%,,,,"14,390,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-thep-lte-44mm-new-100-dp212.html,Đồng hồ Apple watch series 5 - Thép - LTE 44mm - New 100%,,,,"14,290,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-thep-lte-40mm-new-100-dp207.html,Đồng hồ Apple watch series 5 - Thép - LTE 40mm - New 100%,,,,"13,890,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-lte-add-esim-44mm-new-100-dp374.html,Đồng hồ Apple watch series 6 - Nhôm - LTE add eSim 44mm - New 100%,,,,"13,290,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-lte-add-esim-40mm-new-100-dp373.html,Đồng hồ Apple watch series 6 - Nhôm - LTE add eSim 40mm - New 100%,,,,"12,390,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/apple-watch-series-5-nhom-add-esim-lte-44mm-new-100-dp210.html,Đồng hồ Apple watch series 5 - Nhôm - Add esim - LTE 44mm - New 100%,,,,"10,290,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-gps-44mm-new-100-dp330.html,Đồng hồ Apple watch series 6 - Nhôm - GPS 44mm - New 100%,,,,"9,790,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-nhom-lte-40mm-new-100-dp206.html,Đồng hồ Apple watch series 5 - Nhôm  - LTE 40mm Add Esim - New 100%,,,,"9,690,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-gps-40mm-new-100-dp328.html,Đồng hồ Apple watch series 6 - Nhôm - GPS 40mm - New 100%,,,,"9,290,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-gps-44mm-new-99-dp426.html,Đồng hồ Apple watch series 6 - Nhôm - GPS 44mm - New 99%,,,,"9,290,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5---nhom---lte-44mm---new-100-dp376.html,Đồng hồ Apple watch series 5 - Nhôm - GPS 44mm - New 100%,,,,"9,090,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-nhom-day-sport-gps-44mm-new-100-dp209.html,Đồng hồ Apple watch series 5 - Nhôm - Dây Sport - GPS 44mm - New 100%,,,,"9,090,000 VNĐ",,,,,,,,,,,,
5.0,,S5 SiP,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-se-nhom-lte-44mm-new-100-dp332.html,Đồng hồ Apple watch SE - Nhôm - LTE add Esim 44mm - New 100%,,,,"9,090,000 VNĐ",,,,,,,,,,,,
5.0,,S5 SiP,,,https://onewaymobile.vn/apple-watch/apple-watch-se-nhom-lte-add-esim-40mm-new-100-dp375.html,Đồng hồ Apple Watch SE - Nhôm - LTE add Esim 40mm - New 100%,,,,"8,790,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-nhom-gps-40mm-new-100-dp205.html,Đồng hồ Apple watch series 5 - Nhôm - GPS 40mm - New 100%,,,,"8,690,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-gps-40mm-new-99-dp427.html,Đồng hồ Apple watch series 6 - Nhôm - GPS 40mm - New 99%,,,,"8,390,000 VNĐ",,,,,,,,,,,,
5.0,,S5 SiP,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-se-nhom-gps-44mm-new-100-dp333.html,Đồng hồ Apple watch SE - Nhôm - GPS 44mm - New 100%,,,,"8,190,000 VNĐ",,,,,,,,,,,,
,,,,,https://onewaymobile.vn/apple-watch/apple-watch-series-5-nhom-gps-lte-44mm-new-99-dp278.html,Đồng hồ Apple watch series 5 - Nhôm - GPS/ LTE 44mm - New 99%,,,,"8,090,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,updating,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-4-nhom-lte-40mm-new-99-dp277.html,Đồng hồ Apple watch series 5 - Nhôm - GPS/LTE 40mm - New 99%,,,,"7,490,000 VNĐ",,,,,,,,,,,,
5.0,,S5 SiP,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-se-nhom-gps-40mm-new-100-dp334.html,Đồng hồ Apple watch SE - Nhôm - GPS 40mm - New 100%,,,,"7,490,000 VNĐ",,,,,,,,,,,,
5.0,,S5 SiP,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-se-nhom-gps-44mm-new-99-dp428.html,Đồng hồ Apple watch SE - Nhôm - GPS 44mm - New 99%,,,,"7,190,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-4-nhom-lte-44mm-99-dp229.html,Đồng hồ Apple watch series 4 - Nhôm - LTE 44mm - 99%,,,,"6,790,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-4-nhom-lte-40mm-99-dp228.html,Đồng hồ Apple watch series 4 - Nhôm - LTE 40mm - 99%,,,,"6,490,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-3-nhom-lte-42mm-new-100-dp223.html,Đồng hồ Apple watch series 3 - Nhôm - GPS/LTE 42mm - New 100%,,,,"5,590,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-3-nhom-lte-38mm-new-100-dp224.html,Đồng hồ Apple watch series 3 - Nhôm - GPS/LTE 38mm - New 100%,,,,"4,990,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-3-nhom-lte-42mm-99-dp227.html,Đồng hồ Apple watch series 3 - Nhôm - GPS/LTE 42mm - 99%,,,,"4,590,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-3-nhom-ltegps-38mm-99-dp225.html,Đồng hồ Apple watch series 3 - Nhôm - LTE/GPS 38mm - 99%,,,,"4,090,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-thep-milan-lte-44mm-new-100-dp331.html,Đồng hồ Apple watch series 6 - Thép Milan - LTE 44mm - New 100%,,,,"19,390,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-thep-milan-lte-40mm-new-100-dp329.html,Đồng hồ Apple watch series 6 - Thép Milan - LTE 40mm - New 100%,,,,"18,290,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6---thep---lte-44mm---new-100-dp371.html,Đồng hồ Apple watch series 6 - Thép - LTE 44mm - New 100%,,,,"16,990,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6---thep---lte-40mm---new-100-dp372.html,Đồng hồ Apple watch series 6 - Thép - LTE 40mm - New 100%,,,,"16,390,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-thep-milan-lte-44mm-new-100-dp213.html,Đồng hồ Apple watch series 5 - Thép - Milan - LTE 44mm - New 100%,,,,"14,990,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-thep-milan-lte-40mm-new-100-dp208.html,Đồng hồ Apple watch series 5 - Thép - Milan - LTE 40mm - New 100%,,,,"14,390,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-thep-lte-44mm-new-100-dp212.html,Đồng hồ Apple watch series 5 - Thép - LTE 44mm - New 100%,,,,"14,290,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-thep-lte-40mm-new-100-dp207.html,Đồng hồ Apple watch series 5 - Thép - LTE 40mm - New 100%,,,,"13,890,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-lte-add-esim-44mm-new-100-dp374.html,Đồng hồ Apple watch series 6 - Nhôm - LTE add eSim 44mm - New 100%,,,,"13,290,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-lte-add-esim-40mm-new-100-dp373.html,Đồng hồ Apple watch series 6 - Nhôm - LTE add eSim 40mm - New 100%,,,,"12,390,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/apple-watch-series-5-nhom-add-esim-lte-44mm-new-100-dp210.html,Đồng hồ Apple watch series 5 - Nhôm - Add esim - LTE 44mm - New 100%,,,,"10,290,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-gps-44mm-new-100-dp330.html,Đồng hồ Apple watch series 6 - Nhôm - GPS 44mm - New 100%,,,,"9,790,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-nhom-lte-40mm-new-100-dp206.html,Đồng hồ Apple watch series 5 - Nhôm  - LTE 40mm Add Esim - New 100%,,,,"9,690,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-gps-40mm-new-100-dp328.html,Đồng hồ Apple watch series 6 - Nhôm - GPS 40mm - New 100%,,,,"9,290,000 VNĐ",,,,,,,,,,,,
,,Apple S6,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-6-nhom-gps-44mm-new-99-dp426.html,Đồng hồ Apple watch series 6 - Nhôm - GPS 44mm - New 99%,,,,"9,290,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5---nhom---lte-44mm---new-100-dp376.html,Đồng hồ Apple watch series 5 - Nhôm - GPS 44mm - New 100%,,,,"9,090,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple S5,,,https://onewaymobile.vn/apple-watch/dong-ho-apple-watch-series-5-nhom-day-sport-gps-44mm-new-100-dp209.html,Đồng hồ Apple watch series 5 - Nhôm - Dây Sport - GPS 44mm - New 100%,,,,"9,090,000 VNĐ",,,,,,,,,,,,
