bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://shopapple123.com/apple-watch-se/apple-watch-se-40mm-lte-sliver-nike-new-231,Apple Watch SE 40mm (LTE) Sliver Nike NEW,,,,9.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-se/apple-watch-se-40mm-lte-vien-nhom-vang-gold-230,Apple Watch SE 40mm (LTE) Viền Nhôm Vàng (Gold),,,,9.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-se/apple-watch-se-40mm-lte-vien-nhom-xam-229,Apple Watch SE 40mm (LTE) Viền Nhôm Xám,,,,9.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-se/apple-watch-se-44mm-lte-vien-nhom-trang-228,Apple Watch SE 44mm (LTE) Viền Nhôm Trắng,,,,9.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-se/apple-watch-se-44mm-lte-vien-nhom-vang-gold-new-227,Apple Watch SE 44mm (LTE) Viền Nhôm Vàng (Gold) NEW,,,,9.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-se/apple-watch-se-44mm-lte-vien-nhom-xam-226,Apple Watch SE 44mm (LTE) Viền Nhôm Xám,,,,9.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-series-6/apple-watch-series-6-gps-40mm-silver-new-225,Apple Watch Series 6 GPS 40MM Silver NEW,,,,11.900.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-series-6/apple-watch-series-6-40mm-gps-vien-nhom-do-224,Apple Watch Series 6 40mm (GPS) Viền Nhôm Đỏ,,,,11.900.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-series-6/apple-watch-series-6-40mm-gps-vien-nhom-xanh-new-223,Apple Watch Series 6 40mm (GPS) Viền Nhôm Xanh NEW,,,,12.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-series-6/apple-watch-series-6-44mm-gps-vien-nhom-do-new-222,Apple Watch Series 6 44mm (GPS) Viền Nhôm Đỏ NEW,,,,11.900.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-series-6/apple-watch-series-6-44mm-gps-vien-nhom-den-new-221,Apple Watch Series 6 44mm (GPS) viền Nhôm Đen  NEW,,,,11.800.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/apple-watch-series-6/apple-watch-series-6-44mm-gps-vien-nhom-xanh-new-220,Apple Watch Series 6 44mm (GPS) viền Nhôm Xanh NEW,,,,11.900.000 đ,,,,,,,,,,,,
