bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://www.xtmobile.vn/apple-watch-series-6-40mm-gps-vna,Apple Watch Series 6 40mm (GPS) Chính hãng (VN/A),watchOS 7.0,,,9.950.000,,,,,,Always-On Retina,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-se-40mm-gps-chinh-hang-vna,Apple Watch SE 40mm (GPS) Chính hãng (VN/A),watchOS 7.0,,,7.090.000,,,,,,Retina LTPO OLED 1.57 inch,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-series-5-40mm-gps-cu,Apple Watch Series 5 40mm (GPS) (Cũ 99%),watchOS 6.0,,,6.190.000,,,,,,OLED 1.57 inch,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-series-5-40mm-gps-nobox,Apple Watch Series 5 40mm (GPS) Nobox (Chưa Active),watchOS 6.0,,,6.590.000,,,,,,OLED 1.57 inch,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-series-5-44mm-cu,Apple Watch Series 5 44mm (GPS) (Cũ 99%),watchOS 6.0,,,6.890.000,,,,,,OLED 1.78 inch,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-series-5-40mm-ban-lte,Apple Watch Series 5 40mm (LTE) (TBH),watchOS 6.0,,,7.890.000,,,,,,OLED 1.57 inch,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-series-6-44mm-lte-vna,Apple Watch Series 6 44mm (LTE) Chính hãng (VN/A),watchOS 7.0,,,12.290.000,,,,,,Always-On Retina,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-series-6-40mm-lte-vna,Apple Watch Series 6 40mm (LTE) Chính hãng (VN/A),watchOS 7.0,,,13.890.000,,,,,,Always-On Retina,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-series-6-44mm-gps-vna,Apple Watch Series 6 44mm (GPS) Chính hãng (VN/A),watchOS 7.0,,,11.390.000,,,,,,Always-On Retina,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-se-44mm-gps-chinh-hang-vna,Apple Watch SE 44mm (GPS) Chính hãng (VN/A),watchOS 7.0,,,7.850.000,,,,,,Retina LTPO OLED 1.78 inch,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-se-40mm-lte-chinh-hang-vna,Apple Watch SE 40mm (LTE) Chính hãng (VN/A),watchOS 7.0,,,8.990.000,,,,,,Retina LTPO OLED 1.57 inch,,,,,,
,,,,,https://www.xtmobile.vn/apple-watch-se-44mm-lte-chinh-hang-vna,Apple Watch SE 44mm (LTE) Chính hãng (VN/A),watchOS 7.0,,,10.990.000,,,,,,Retina LTPO OLED 1.78 inch,,,,,,
,,,,,https://www.xtmobile.vn/xiaomi-mi-band-5,Vòng đeo tay thông minh Xiaomi Mi Band 5,,,,790.000,,,,,,AMOLED,,,,,,
