bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Apple A12,1.2 MP,,https://clickbuy.com.vn/ipad-gen-8-10-2-2020-lte-cu/,iPad Gen 8 10.2″ 2020 32GB LTE cũ ( còn bảo hành Apple),iPad OS 14,,,"1,300,000 VNĐ",3 GB,8.0 MP,1620 x 2160 Pixels,32 GB,10.2 inches,,1 nano SIM,,,,,
,,Apple A8X,1.2 MP,,https://clickbuy.com.vn/ipad-air-2-16g-4g-wifi-cu-99/,iPad Air 2 16G (4G + wifi) cũ 99%,iOS 9.3.3 (có thể up lên iOS 10),,,"300,000 VNĐ",2GB,8.0 MP,1536 x 2048 pixels,"16GB, 32 GB, 64 GB",9.7 inches,,1 nano SIM,,,,,
,,Apple A7,1.2 MP,,https://clickbuy.com.vn/ipad-air-16g-4g-wifi-cu-99/,iPad Air 16G ( 4G + wifi) cũ 99%,iOS 9.3.3 (có thể up lên iOS 10),,,"600,000 VNĐ",1GB,5 MP,1536 x 2048 pixels,16GB,9.7 inches,,1 nano SIM,,,,,
,,Apple M1,7 MP,,https://clickbuy.com.vn/ipad-pro-m1-11-128gb-wifi-chinh-hang-viet-nam/,iPad Pro M1 11” – 128Gb Wifi | Chính hãng Việt Nam,iPad OS 14,,,"2,100,000 VNĐ",8Gb,"Cảm biến 3D LiDAR, Dual 12MP + 10MP",1668 x 2388 Pixels,128 GB,11 inches,,,,,,,
,,Apple M1,7 MP,,https://clickbuy.com.vn/ipad-pro-m1-11-128gb-lte-chinh-hang-viet-nam/,iPad Pro M1 11” – 128Gb LTE | Chính hãng Việt Nam,iPad OS 14,,,"2,100,000 VNĐ",8Gb,"Cảm biến 3D LiDAR, Dual 12MP + 10MP",1668 x 2388 Pixels,128 GB,11 inches,,,,,,,
,,Apple A12,1.2 MP,,https://clickbuy.com.vn/ipad-2020-gen-8-32gb-wifi-chinh-hang-viet-nam/,iPad Gen 8 10.2″ 2020 32Gb Wifi | Chính hãng Việt Nam,iPad OS 14,,,"1,500,000 VNĐ",3 GB,8.0 MP,1620 x 2160 Pixels,32 GB,10.2 inches,,1 nano SIM,,,,,
,,Apple A12,1.2 MP,,https://clickbuy.com.vn/ipad-2020-gen-8-32gb-lte-chinh-hang-viet-nam/,iPad Gen 8 10.2″ 2020 32GB LTE | Chính hãng Việt Nam,iPad OS 14,,,"1,300,000 VNĐ",3 GB,8.0 MP,1620 x 2160 Pixels,32 GB,10.2 inches,,1 nano SIM,,,,,
,,Apple A14 Bionic (5nm),7 MP,,https://clickbuy.com.vn/ipad-air-4-64gb-wifi-chinh-hang-viet-nam/,iPad Air 4 10.9″ 2020 64Gb Wifi | Chính hãng Việt Nam,iPad OS 14,,,"2,040,000 VNĐ",4 GB,12 MP,1640 x 2360 Pixels,64 GB,"10,9 inches",,1 nano SIM,,,,,
,,Apple A14 Bionic (5nm),7 MP,,https://clickbuy.com.vn/ipad-air-4-64gb-lte-chinh-hang-viet-nam/,iPad Air 4 10.9″ 2020 64Gb LTE | Chính hãng Việt Nam,iPad OS 14,,,"2,600,000 VNĐ",4 GB,12 MP,1640 x 2360 Pixels,64 GB,"10,9 inches",,1 nano SIM,,,,,
