bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,"Đen, Trắng, Vàng",Apple A12 Bionic (7 nm),,,https://didongthongminh.vn/ipad-gen-8-10-2-2020-32gb-wifi-nguyen-seal-chinh-hang,iPad Gen 8 10.2″ 2020 32GB Wi-Fi,,,,"8,490,000 VND",3 GB,"HDR, panorama, 8.0 MP",,"32 GB, 128GB",,Retina IPS LCD 10.2 inch,,,,,,
,"Đen, Trắng, Vàng",Apple A12 Bionic (7 nm),,,https://didongthongminh.vn/ipad-10-2-2020-32gb-4g-wi-fi,iPad Gen 8 10.2″ 2020 32GB 4G/Wifi – Chính Hãng Apple Việt Nam,,,,"11,690,000 VND",3 GB,"HDR, panorama, 8.0 MP",,"32 GB, 128GB",,Retina IPS LCD 10.2 inch,,,,,,
,"Xanh lục, Bạc, Hồng, Xám, Xanh Dương",Apple A14 Bionic (5 nm),"7 MP, f/2.0, 31mm (standard)",,https://didongthongminh.vn/ipad-air-4-10-9-64gb-wifi-2020-chinh-hang,iPad Air 4 10.9 64GB Wi-Fi 2020,,,,"14,950,000 VND",,"12 MP, f/1.8, (wide), 1/3"", 1.22µm, dual pixel PDAF",,64 GB,,Liquid Retina IPS LCD 10.9 inches 1640 x 2360 pixels,,,,,,
,"Đen, Trắng, Vàng",Apple A12 Bionic (7 nm),,,https://didongthongminh.vn/ipad-gen-8-10-2-2020-128gb-wi-fi,iPad Gen 8 10.2″ 2020 128GB Wi-Fi,,,,"10,790,000 VND",3 GB,"HDR, panorama, 8.0 MP",,128GB,,Retina IPS LCD 10.2 inch,,,,,,
,"Đen, Trắng, Vàng",Apple A10 Fusion,,,https://didongthongminh.vn/ipad-gen-7-2019-10-2-32gb-wifi-moi-chinh-hang,iPad Gen 7 2019 10.2″ 32GB Wifi mới chính hãng,,,,"7,890,000 VND",3 GB,8.0 MP,,32 GB,,10.2 inches IPS LCD,,,,,,
,"Đen, Trắng, Vàng",Apple A10 Fusion,,,https://didongthongminh.vn/ipad-gen-7-2019-10-2-128gb-wifi-moi-chinh-hang,iPad Gen 7 2019 10.2″ 128GB Wifi mới chính hãng,,,,"10,390,000 VND",3 GB,8.0 MP,,128GB,,10.2 inches IPS LCD,,,,,,
,"Đen, Trắng, Vàng",Apple A12 Bionic (7 nm),,,https://didongthongminh.vn/ipad-gen-8-10-2-2020-128gb-4g-wifi-chinh-hang-apple-viet-nam,iPad Gen 8 10.2″ 2020 128GB 4G/Wifi – Chính Hãng Apple Việt Nam,,,,"14,590,000 VND",3 GB,"HDR, panorama, 8.0 MP",,128GB,,Retina IPS LCD 10.2 inch,,,,,,
,"Xanh lá cây, Bạc, Hồng, Xám, Xanh Dương",Apple A14 Bionic (5 nm),"7 MP, f/2.0, 31mm (standard)",,https://didongthongminh.vn/ipad-air-4-10-9-64gb-moi-wifi-4g,iPad Air 4 10.9 64GB Wifi/4G 2020 – Chính hãng,,,,"17,990,000 VND",,"12 MP, f/1.8, (wide), 1/3"", 1.22µm, dual pixel PDAF",,64 GB,,Liquid Retina IPS LCD 10.9 inches 1640 x 2360 pixels,,,,,,
,"Đen, Trắng",Apple A7,,,https://didongthongminh.vn/ipad-air-32gb-4g-wifi-moi-tran,iPad Air 32Gb (4G + Wifi) Mới trần,,,,"5,190,000 VND",1 GB,5.0 MP,,32 GB,,IPS LCD 9.7 inch Retina 2048×1536 pixel (264ppi),,,,,,
