bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,"Apple A12 Bionic 6 nhân, 2 nhân 2.5 GHz & 4 nhân 1.6 GHz, Apple GPU 4 nhân, La bàn, Gia tốc",,,https://viettelstore.vn/may-tinh-bang/ipad-8-2020-cellular-32gb-pid158161.html,iPad 8 (2020) Cellular 32GB,,,,11.990.000 ₫,3 GB,,,32 GB,,"Retina IPS LCD, 1620 x 2160 Pixels, 10.2""",,Dài 250.6 mm - Ngang 174.1 mm - Dày 7.5 mm,,,Khoảng 490 g,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot"
,,"Apple A12 Bionic 6 nhân, 2 nhân 2.5 GHz & 4 nhân 1.6 GHz, Apple GPU 4 nhân, Gia tốc, La bàn",,,https://viettelstore.vn/may-tinh-bang/ipad-8-2020-wifi-32GB-pid157145.html,iPad 8 (2020) Wifi 32GB,,,,8.990.000 ₫,3 GB,,,32 GB,,"Retina IPS LCD, 1620 x 2160 Pixels, 10.2""",,Dài 250.6 mm - Ngang 174.1 mm - Dày 7.5 mm,,,Khoảng 490 g,"Dual-band, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi hotspot"
,,"Apple A12 Bionic 6 nhân, 2 nhân 2.5 GHz & 4 nhân 1.6 GHz, Apple GPU 4 nhân, La bàn, Gia tốc",,,https://viettelstore.vn/may-tinh-bang/ipad-8-2020-cellular-128gb-pid158167.html,iPad 8 (2020) Cellular 128GB,,,,13.990.000 ₫,3 GB,,,128 GB,,"Retina IPS LCD, 1620 x 2160 Pixels, 10.2""",,Dài 250.6 mm - Ngang 174.1 mm - Dày 7.5 mm,,,Khoảng 490 g,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot"
,,Apple A12Z Bionic; 4 nhân 2.5 GHz & 4 nhân 1.6 GHz; Apple GPU 8 nhân,,,https://viettelstore.vn/may-tinh-bang/ipad-pro-11-2020-wifi-256gb-pid148024.html,iPad Pro 11 (2020) WIFI 256GB,,,,22.990.000 ₫,6 GB,,,256GB,,"Liquid Retina; 1668 x 2388 Pixels; 11""",,Dài 247.6 mm - Ngang 178.5 mm - Dày 5.9 mm,,,471 g,Dual-band; Wi-Fi 802.11 a/b/g/n/ac/ax; MIMO
,,Apple A12Z Bionic; 4 nhân 2.5 GHz & 4 nhân 1.6 GHz; Apple GPU 8 nhân,,,https://viettelstore.vn/may-tinh-bang/ipad-pro-11-2020-wifi-128gb-pid148022.html,iPad Pro 11 (2020) WIFI 128GB,,,,19.990.000 ₫,6 GB,,,128 GB,,"Liquid Retina; 1668 x 2388 Pixels; 11""",,Dài 247.6 mm - Ngang 178.5 mm - Dày 5.9 mm,,,471 g,Dual-band; Wi-Fi 802.11 a/b/g/n/ac/ax; MIMO
,,"Apple A14 Bionic 6 nhân, Apple GPU 6 nhân, Cảm biến La bàn, Gia tốc",,,https://viettelstore.vn/may-tinh-bang/ipad-air-2020-wifi-64gb-pid157144.html,iPad Air (2020) Wifi 64GB,,,,15.490.000 ₫,,,,64 GB,,"Liquid Retina, 1640 x 2360 Pixels, 10.9""",,Dài 247.6 mm - Ngang 178.5 mm - Dày 6.1 mm,,,460 g,"Wi-Fi 802.11 a/b/g/n/ac/ax, Dual-band, Wi-Fi hotspot"
,,Apple A12Z Bionic; 4 nhân 2.5 GHz & 4 nhân 1.6 GHz; Apple GPU 8 nhân,,,https://viettelstore.vn/may-tinh-bang/ipad-pro-12-9-2020-wifi-128gb-pid148042.html,iPad Pro 12.9 (2020) WIFI 128GB,,,,26.990.000 ₫,6 GB,,,128 GB,,"Liquid Retina; 2048 x 2732 Pixels; 12.9""",,Dài 247.6 mm - Ngang 178.5 mm - Dày 5.9 mm,,,471 g,Dual-band; Wi-Fi 802.11 a/b/g/n/ac/ax; MIMO
,,Apple A12Z Bionic; 4 nhân 2.5 GHz & 4 nhân 1.6 GHz; Apple GPU 8 nhân,,,https://viettelstore.vn/may-tinh-bang/ipad-pro-12-9-2020-wifi-4g-128gb-pid148044.html,iPad Pro 12.9 (2020) WIFI 4G 128GB,,,,30.990.000 ₫,6 GB,,,128GB,,"Liquid Retina; 2048 x 2732 Pixels 12.9""",,Dài 247.6 mm - Ngang 178.5 mm - Dày 5.9 mm,,,471 g,Dual-band; Wi-Fi 802.11 a/b/g/n/ac/ax; MIMO
,,"Apple A12 Bionic 6 nhân, 2 nhân 2.5 GHz & 4 nhân 1.6 GHz, Apple GPU 4 nhân, Gia tốc, La bàn",,,https://viettelstore.vn/may-tinh-bang/ipad-8-2020-wifi-128gb-pid158163.html,iPad 8 (2020) Wifi 128GB,,,,10.490.000 ₫,3 GB,,,128 GB,,"Retina IPS LCD, 1620 x 2160 Pixels, 10.2""",,Dài 250.6 mm - Ngang 174.1 mm - Dày 7.5 mm,,,Khoảng 490 g,"Dual-band, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi hotspot"
,,"Apple A14 Bionic 6 nhân, Apple GPU 6 nhân, Cảm biến: La bàn, Gia tốc",,,https://viettelstore.vn/may-tinh-bang/ipad-air-2020-cellular-64gb-pid158148.html,iPad Air (2020) Cellular 64GB,,,,18.990.000 ₫,,,,64 GB,,"Liquid Retina, 1640 x 2360 Pixels, 10.9""",,Dài 247.6 mm - Ngang 178.5 mm - Dày 6.1 mm,,,460 g,"Wi-Fi 802.11 a/b/g/n/ac/ax, Dual-band, Wi-Fi hotspot"
