bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
"5.0, A2DP, LE",,Apple A13 Bionic (7 nm+),"12 MP, f/2.2, 23mm (wide)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-11-moi-64gb-quoc-te-ato-p375.html,iPhone 11 ATO 64GB - Mới 100% - Đã Kích Hoạt,"iOS 13, hỗ trợ lên iOS 14",,,13.990.000 VND,4GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, dual pixel PDAF, OIS",828 x 1792 pixels,64GB,6.1 inches,Liquid Retina IPS LCD,"Nano-SIM, eSIM",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),,,194 g (6.84 oz),Wi-Fi 802.11 a/b/g/n/ac/6
"5.0, A2DP, LE",,Apple A13 Bionic (7 nm+),"12 MP, f/2.2, 23mm (wide)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-11-pro-ato-moi-64gb-quoc-te-p397.html,iPhone 11 Pro ATO 64GB - Mới 100%-  Đã Kích Hoạt,"iOS 13, hỗ trợ lên iOS 14",,,16.990.000 VND,4GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, dual pixel PDAF, OIS",1125 x 2436 pixels,64GB,5.8 inches,Super Retina XDR OLED,"Nano-SIM, eSIM",144 x 71.4 x 8.1 mm (5.67 x 2.81 x 0.32 in),,,188 g (6.63 oz),Wi-Fi 802.11 a/b/g/n/ac/6
,,Apple A14 (5nm),"12 MP, f/2.2, 23mm (wide), 1/3.6\""",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-12-pro-max-128gb-chinh-hang-vna-p508.html,iPhone 12 Pro Max 128GB Chính Hãng (VN/A),iOS 14,,,28.990.000 VND,,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, Sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4\"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6\"" TOF 3D LiDAR scanner (depth)",1284 x 2778 pixels,"128GB, 256GB, 512GB",6.7 inches,Super Retina XDR OLED,Single SIM (Nano-SIM and/or eSIM),,,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot"
,,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6\""",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-12-pro-128gb-chinh-hang-vna-p511.html,iPhone 12 Pro 128GB Chính Hãng (VN/A) ,iOS 14,,,26.690.000 VND,,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4\"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6\"" TOF 3D LiDAR scanner (depth)",1170 x 2532 pixels,"128GB, 256GB, 512GB",6.1 inches,Super Retina XDR OLED,Single SIM (Nano-SIM and/or eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,189 g (6.67 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot"
,,Apple A14 (5nm),"12 MP, f/2.2, 23mm (wide), 1/3.6\""",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-12-pro-max-128gb-quoc-te-moi-p122.html,iPhone 12 Pro Max 128GB Chính Hãng ( Mới ),iOS 14,,,26.590.000 VND,,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, Sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4\"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6\"" TOF 3D LiDAR scanner (depth)",1284 x 2778 pixels,"128GB, 256GB, 512GB",6.7 inches,Super Retina XDR OLED,Single SIM (Nano-SIM and/or eSIM),,,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot"
Có,,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6\""",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-12-64gb-chinh-hang-vna-p513.html,iPhone 12 64GB Mới Chính Hãng (VN/A),iOS 14,,,19.590.000 VND,,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6\""",1170 x 2532 pixels,64GB,6.1 inches,Super Retina XDR OLED,Single SIM (Nano-SIM and/or eSIM),,,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot"
"5.0, A2DP, LE",,Apple A12 Bionic (7 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-xs-max-cu-64gb-quoc-te-p64.html,iPhone XS Max cũ 64GB Quốc tế,"iOS 12, hỗ trợ lên iOS 14",,,11.590.000 VND,4GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, dual pixel PDAF, OIS",1242 x 2688 pixels,64GB,6.5 inches,Super Retina OLED,"Nano-SIM, eSIM",157.5 x 77.4 x 7.7 mm (6.20 x 3.05 x 0.30 in),,,208 g (7.34 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A13 Bionic (7 nm+),"12 MP, f/2.2, 23mm (wide)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-11-pro-max-ato-moi-64gb-quoc-te-p399.html,iPhone 11 Pro Max ATO 64GB - Pin 100% - Đã Kích Hoạt ,"iOS 13, hỗ trợ lên iOS 14",,,19.890.000 VND,4GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, dual pixel PDAF, OIS",1242 x 2688 pixels,64GB,6.5 inches,Super Retina XDR OLED,"Nano-SIM, eSIM",158 x 77.8 x 8.1 mm (6.22 x 3.06 x 0.32 in),,,226 g (7.97 oz),Wi-Fi 802.11 a/b/g/n/ac
,,Apple A14 (5nm),"12 MP, f/2.2, 23mm (wide), 1/3.6\""",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-12-pro-max-512gb-chinh-hang-vna-p510.html,iPhone 12 Pro Max 512GB Chính Hãng (VN/A),iOS 14,,,37.490.000 VND,,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, Sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4\"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6\"" TOF 3D LiDAR scanner (depth)",1284 x 2778 pixels,"128GB, 256GB, 512GB",6.7 inches,Super Retina XDR OLED,Single SIM (Nano-SIM and/or eSIM),,,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot"
,,Apple A14 (5nm),"12 MP, f/2.2, 23mm (wide), 1/3.6\""",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-12-pro-max-256gb-chinh-hang-vna-p509.html,iPhone 12 Pro Max 256GB Chính Hãng (VN/A),iOS 14,,,31.690.000 VND,,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, Sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4\"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6\"" TOF 3D LiDAR scanner (depth)",1284 x 2778 pixels,"128GB, 256GB, 512GB",6.7 inches,Super Retina XDR OLED,Single SIM (Nano-SIM and/or eSIM),,,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot"
