bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://shopapple123.com/ipad-mini-4/ipad-mini-4-gold-170,IPad Mini 4 Gold,,,,5.790.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-4/ipad-mini-4-den-169,IPad Mini 4 Đen,,,,5.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-4/ipad-mini-4-trang-168,IPad Mini 4 Trắng,,,,5.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-2/ipad-mini-2-trang-167,IPad Mini 2 Trắng,,,,3.390.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-2/ipad-mini-2-den-166,IPad Mini 2 Đen,,,,3.390.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-pro/ipad-pro-9-7-silver-165,IPad Pro 9.7 Silver,,,,10.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-pro/ipad-pro-9-7-rose-164,IPad Pro 9.7 Rose,,,,10.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-gen-6/ipad-gen-6-2018-trang-163,IPad Gen 6 2018 Trắng,,,,6.890.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-gen-6/ipad-gen-6-2018-den-162,IPad Gen 6 2018 Đen,,,,6.890.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-gen-5/ipad-gen-5-2017-gold-161,IPad Gen 5 2017 Gold,,,,6.290.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-gen-5/ipad-gen-5-2017-den-trang-160,IPad Gen 5 2017 Đen/ Trắng,,,,5.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air-2/ipad-air-2-gold-159,IPad Air 2 Gold,,,,5.290.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air-2/ipad-air-2-trang-158,IPad Air 2 Trắng,,,,4.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air-2/ipad-air-2-den-157,IPad Air 2 Đen,,,,4.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air/ipad-air-1-trang-156,IPad Air 1 Trắng,,,,4.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air/ipad-air-1-den-155,IPad Air 1 Đen,,,,3.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-4/ipad-mini-4-gold-170,IPad Mini 4 Gold,,,,5.790.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-4/ipad-mini-4-den-169,IPad Mini 4 Đen,,,,5.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-4/ipad-mini-4-trang-168,IPad Mini 4 Trắng,,,,5.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-2/ipad-mini-2-trang-167,IPad Mini 2 Trắng,,,,3.390.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-mini-2/ipad-mini-2-den-166,IPad Mini 2 Đen,,,,3.390.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-pro/ipad-pro-9-7-silver-165,IPad Pro 9.7 Silver,,,,10.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-pro/ipad-pro-9-7-rose-164,IPad Pro 9.7 Rose,,,,10.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-gen-6/ipad-gen-6-2018-trang-163,IPad Gen 6 2018 Trắng,,,,6.890.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-gen-6/ipad-gen-6-2018-den-162,IPad Gen 6 2018 Đen,,,,6.890.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-gen-5/ipad-gen-5-2017-gold-161,IPad Gen 5 2017 Gold,,,,6.290.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-gen-5/ipad-gen-5-2017-den-trang-160,IPad Gen 5 2017 Đen/ Trắng,,,,5.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air-2/ipad-air-2-gold-159,IPad Air 2 Gold,,,,5.290.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air-2/ipad-air-2-trang-158,IPad Air 2 Trắng,,,,4.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air-2/ipad-air-2-den-157,IPad Air 2 Đen,,,,4.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air/ipad-air-1-trang-156,IPad Air 1 Trắng,,,,4.990.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/ipad-air/ipad-air-1-den-155,IPad Air 1 Đen,,,,3.990.000 đ,,,,,,,,,,,,
