bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,, Apple Watch SE - Space Gray Aluminium Case with Charcoal Sport Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Space Gray Aluminium Case with Black Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Gold Aluminium Case with Plum Sport Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Gold Aluminium Case with Pink Sand Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Silver Aluminium Case with Deep Navy Sport Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Silver Aluminium Case with White Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Space Gray Aluminium Case with Black Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Gold Aluminium Case with Pink Sand Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Silver Aluminium Case with White Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Blue Aluminium Case with Deep Navy Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Graphite Stainless Steel Case with Graphite Milanese Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Graphite Stainless Steel Case with Black Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Gold Stainless Steel Case with Gold Milanese Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Gold Stainless Steel Case with Cyprus Green Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Silver Stainless Steel Case with Silver Milanese Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Silver Stainless Steel Case with White Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - PRODUCT(RED) Aluminium Case with PRODUCT(RED) Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,," Apple Watch Series 5 GPS + Cellular, Space Grey Aluminium Case with Black Sport Band ",,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Space Gray Aluminium Case with Charcoal Sport Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Space Gray Aluminium Case with Black Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Gold Aluminium Case with Plum Sport Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Gold Aluminium Case with Pink Sand Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Silver Aluminium Case with Deep Navy Sport Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch SE - Silver Aluminium Case with White Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Space Gray Aluminium Case with Black Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Gold Aluminium Case with Pink Sand Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Silver Aluminium Case with White Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Blue Aluminium Case with Deep Navy Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Graphite Stainless Steel Case with Graphite Milanese Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Graphite Stainless Steel Case with Black Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Gold Stainless Steel Case with Gold Milanese Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Gold Stainless Steel Case with Cyprus Green Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Silver Stainless Steel Case with Silver Milanese Loop ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - Silver Stainless Steel Case with White Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,, Apple Watch Series 6 - PRODUCT(RED) Aluminium Case with PRODUCT(RED) Sport Band - Regular ,,,,From    ,,,,,,,,,,,,
,,,,,," Apple Watch Series 5 GPS + Cellular, Space Grey Aluminium Case with Black Sport Band ",,,,From    ,,,,,,,,,,,,
