bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-10.5-2017-64gb-wifi-like-new-99,iPad Pro 10.5 2017 64GB Wifi (Like New 99%),"    iOS 10.3.2, upgradable to iOS 12.4",,,9.890.000,,     12 MP,    1668 x 2224 pixels,    64GB,,,,,,,,
,,    Apple A10,    1.2MP - f2.2,,https://www.viettablet.com/ipad-gen-7-32gb-wifi-hang-chinh-hang-vn-moi-nguyen-seal,iPad 10.2 Gen 7 (2019) - 32GB (Wifi) VN/A - Mới Fullbox TBH,    iPadOS 13,,,7.690.000,     3 GB,"     8 MP, f/2.4, 31mm (standard), 1.12µm, AF",    1620 x 2160 pixels,     32 GB,,,,,,,,
,,    Exynos 9611 8 nhân,    5 MP,,https://www.viettablet.com/samsung-galaxy-tab-s6-lite-cty,Samsung Galaxy Tab S6 Lite (Công Ty),    Android 10,,,7.590.000,     4 GB,    8 MP,    1200 x 2000 Pixels,    64GB,,,,,,,,
,,    Exynos 7904 8 nhân,    5MP,,https://www.viettablet.com/samsung-galaxy-tab-a-10-1,Samsung Galaxy Tab A 10.1 T515 (2019) Công Ty,     Android 9.0 (Pie),,,5.490.000,     3 GB,     8 MP,     1920 x 1200 pixels,     32 GB,,,,,,,,
,,    Apple A6X ,    1.2 MP,,https://www.viettablet.com/ipad-4-16gb-4g-like-new-99,iPad 4 16GB 4G Like New 99%,"    iOS 6, upgradable to iOS 10.3",,,3.290.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    16 GB,,,,,,,,
,,     Qualcomm SDM660 Snapdragon 660 (14 nm),     5 MP,,https://www.viettablet.com/xiaomi-mi-pad-4,Xiaomi Mi Pad 4 (3GB | 32GB),    Android 8.1 (Oreo); MIUI 9,,,3.990.000,    3GB,     13 MP,    1200 x 1920 pixels,    32GB,,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/ipad-air-3-10.5-inch-2019-3gb-64gb-cu-like-new-99,iPad Air 3 10.5 inch (2019) Wifi/4G 64GB Like New 99%,    iOS 12,,,11.590.000,    3GB,    8 MP,    2224 x 1668 pixels,    64GB,,,,,,,,
,,    Apple A9,    1.2 MP,,https://www.viettablet.com/ipad-2017-32gb,iPad 9.7 inch 32GB (2017) Gen 5 (4G + Wifi) cũ like new 99%,"    iOS 10.3, upgradable to iOS 12.4",,,6.390.000,     2 GB,    8 MP,    1536 x 2048 pixels,     32 GB,,,,,,,,
,,    Apple A10 Fusion,    1.2 MP,,https://www.viettablet.com/ipad-2018-32gb,iPad 9.7 inch (2018) Gen 6 32GB  (Wifi + 4G),"    iOS 11.3, upgradable to iOS 12.4",,,7.390.000,     2 GB,     8 MP,    1536 x 2048 pixels,     32 GB,,,,,,,,
,,    Qualcomm SM8250 Snapdragon 865+ (7 nm+),"    8 MP, f/2.0",,https://www.viettablet.com/samsung-galaxy-tab-s7-plus,Samsung Galaxy Tab S7 Plus 128GB (Công Ty),    Android 10,,,17.190.000,     6 GB,    camera kép,    1752 x 2800 pixels,     128 GB,,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-11-inch-2020-wifi-6gb-128gb,iPad Pro 11 inch (2020) 128GB (Wifi) Chính hãng VN,    iPadOS 14,,,20.190.000,    6 GB,    3 ống kính,    1668 x 2388 pixels,     128 GB,,,,,,,,
,,    Qualcomm SDM660 Snapdragon 660 (14 nm),    5 MP,,https://www.viettablet.com/xiaomi-mi-pad-4-plus,Xiaomi Mi Pad 4 Plus (4GB | 64GB),    Android 8.1 (Oreo); MIUI 10,,,6.090.000,    4GB,     13 MP,     1200 x 1920 pixels,    64GB,,,,,,,,
,,    Snapdragon 662 8 nhân,    5 MP,,https://www.viettablet.com/samsung-galaxy-tab-a7,Samsung Galaxy Tab A7 (2020) Công Ty,    Android 10,,,6.090.000,     3 GB,    8 MP,    1200 x 2000 Pixels,    64GB,,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-11-inch-2020-wifi-6gb-256gb,iPad Pro 11 inch (2020) 256GB (Wifi) Chính hãng VN,    iPadOS 14,,,22.890.000,    6 GB,    3 ống kính,    1668 x 2388 pixels,    256GB,,,,,,,,
,,    HiSilicon Kirin 930 (28 nm),    5MP,,https://www.viettablet.com/huawei-mediapad-m2-10-inch,Huawei MediaPad M2 10 inch,    Android 5.1 (Lollipop); EMUI 3.1,,,2.390.000,     3 GB,     13 MP,    1200 x 1920 pixels,     16 GB,,,,,,,,
,,    Apple A9X ,     5 MP,,https://www.viettablet.com/ipad-pro-97-inch-32gb,iPad Pro 9.7 32GB 2016 Like New 99%( 4G+ WIFI),"    iOS 9.3.2, upgradable to iOS 12.4",,,7.190.000,    2GB,     12 MP,    1536 x 2048 pixels,    32GB/128GB ,,,,,,,,
,,    Snapdragon 429,    2 MP,,https://www.viettablet.com/samsung-galaxy-tab-a8-8-inch-t295-2019,Samsung Galaxy Tab A8 8 inch T295 (2019) Công ty,    Android 9.0 (Pie),,,3.390.000,     2 GB,    8 MP,    1280 x 800 pixels,     32 GB,,,,,,,,
,,     Qualcomm SDM660 Snapdragon 660 (14 nm),     5 MP,,https://www.viettablet.com/xiaomi-mi-pad-4-64gb,Xiaomi Mi Pad 4 (4GB | 64GB),    Android 8.1 (Oreo); MIUI 9,,,4.390.000,    4GB,     13 MP,    1200 x 1920 pixels,    64GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-air-16-gb-4g-like-new-99,iPad Air 16GB 4G Cũ Like New 99%,"    iOS 7, upgradable to iOS 12.4",,,4.190.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    16 GB,,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7.0 MP,,https://www.viettablet.com/ipad-mini-5-2019-64gb-wifi-4g-moi-100-tbh,iPad Mini 5 2019 64GB (Wifi + 4G) Mới 100% TBH,    iOS 12,,,10.990.000,     3 GB,    8.0 MP,    2048 x 1536 Pixels,    64GB,,,,,,,,
,,    Apple A8X,    1.2 MP,,https://www.viettablet.com/ipad-air-2-64gb,iPad Air 2 64GB 4G Cũ Like New 99%,"    iOS 8.1, upgradable to iOS 12.4",,,6.290.000,    2 GB,    8 MP,    1536 x 2048 pixels,    64 GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-12-9-inch,iPad Pro 12.9 inch GEN 2 (2017) 64GB Wifi / 4G,"    iOS 10.3.2, upgradable to iOS 12.4",,,14.990.000,    4GB,     12 MP,    2732 x 2048 pixels,    64B,,,,,,,,
,,    Apple A8X,    1.2 MP,,https://www.viettablet.com/ipad-air-2-cu-like-new-99,iPad Air 2 16GB 4G Like New 99%,"    iOS 8.1, upgradable to iOS 12.4",,,5.590.000,    2GB,    8 MP,    1536 x 2048 pixels,    16 GB,,,,,,,,
,,,,,https://www.viettablet.com/sony-xperia-z4-tablet,Sony Xperia Z4 Tablet 4G,,,,3.990.000,,,,,,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7.0 MP,,https://www.viettablet.com/ipad-mini-5-2019-64gb-wifi-moi,iPad Mini 5 2019 64GB Wifi Mới 100%,    iOS 12,,,9.990.000,     3 GB,    8.0 MP,    2048 x 1536 Pixels,    64GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-mini-2-retina-16-gb-4g-like-new-99,iPad Mini 2 Retina 16GB 4G Like New 99% Fullbox,"    iOS 7, upgradable to iOS 12.4",,,3.190.000,    1 GB,    5 MP ,    2048 x 1536 pixels,    16 GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-10-5-cu-like-new,iPad Pro 10.5 2017 64GB (WIFI + 4G) (Like New 99%),"    iOS 10.3.2, upgradable to iOS 12.4",,,10.790.000,    4GB,     12 MP,    1668 x 2224 pixels,    64GB,,,,,,,,
,,    Apple A10,    1.2MP - f2.2,,https://www.viettablet.com/ipad-10-2-gen-7-2019-4g-32gb-ll,iPad 10.2 inch Gen 7 (2019) - 32GB (Wifi+4G) Mới TBH,    iPadOS 13,,,8.990.000,     3 GB,"     8 MP, f/2.4, 31mm (standard), 1.12µm, AF",    1620 x 2160 pixels,     32 GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-air-32-gb-4g-like-new-99,iPad Air 32GB 4G Like New 99%,"    iOS 7, upgradable to iOS 12.4",,,4.890.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    32GB,,,,,,,,
