bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Apple A12 Bionic,,,https://www.xtmobile.vn/ipad-gen-8-2020-32gb-wifi-vna,iPad Gen 8 (2020) 32GB Wifi (VN/A),,,,8.390.000,,,,,,"Retina IPS LCD 10.2inch, 2160 x 1620 pixels",,,,,,
,,Apple A12 Bionic,,,https://www.xtmobile.vn/ipad-gen-8-2020-32gb-4g-cu,iPad Gen 8 (2020) 32GB Wifi & 4G (Cũ 99%),,,,9.590.000,,,,,,"Retina IPS LCD 10.2inch, 2160 x 1620 pixels",,,,,,
,,Apple A14 Bionic,,,https://www.xtmobile.vn/ipad-air-4-2020-64gb-wifi,iPad Air 4 (2020) 64GB Wifi (VN/A),,,,14.590.000,,,,,,"Retina IPS LCD 10.9 inch, 1640 x 2360 pixels",,,,,,
,,Apple A14 Bionic,,,https://www.xtmobile.vn/ipad-air-4-2020-256gb-wifi,iPad Air 4 (2020) 256GB Wifi (VN/A),,,,18.390.000,,,,,,"Retina IPS LCD 10.9 inch, 1640 x 2360 pixels",,,,,,
,,Apple A14 Bionic,,,https://www.xtmobile.vn/ipad-air-4-2020-256gb-wifi-4g,iPad Air 4 (2020) 256GB Wifi & 4G (VN/A),,,,21.890.000,,,,,,"Retina IPS LCD 10.9 inch, 1640 x 2360 pixels",,,,,,
,,Apple A14 Bionic,,,https://www.xtmobile.vn/ipad-air-4-2020-64gb-wifi-4g,iPad Air 4 (2020) 64GB Wifi & 4G (VN/A),,,,18.290.000,,,,,,"Retina IPS LCD 10.9 inch, 1640 x 2360 pixels",,,,,,
,,Apple A12 Bionic,,,https://www.xtmobile.vn/ipad-gen-8-2020-128gb-wifi-vna,iPad Gen 8 (2020) 128GB Wifi (VN/A),,,,10.990.000,,,,,,"Retina IPS LCD 10.2inch, 2160 x 1620 pixels",,,,,,
,,Apple A12 Bionic,,,https://www.xtmobile.vn/ipad-gen-8-2020-32gb-wifi-4g,iPad Gen 8 (2020) 32GB Wifi & 4G (VN/A),,,,11.890.000,,,,,,"Retina IPS LCD 10.2inch, 2160 x 1620 pixels",,,,,,
,,Apple A12 Bionic,,,https://www.xtmobile.vn/ipad-gen-8-2020-128gb-wifi-4g,iPad Gen 8 (2020) 128GB Wifi & 4G (VN/A),,,,14.590.000,,,,,,"Retina IPS LCD 10.2inch, 2160 x 1620 pixels",,,,,,
,,Apple A12Z Bionic,,,https://www.xtmobile.vn/ipad-pro-2020-128gb-11inch-wifi-vna,iPad Pro 2020 128GB 11inch Wifi (VN/A),,,,18.990.000,,,,,,"11 inches, 1668x2388 pixels",,,,,,
