bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro Max 512GB,iOS 14,,,32.990.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.2, quét độ sâu TOF 3D LiDAR scanner","1284 x 2778 pixels, 19.59",512GB,"6.7 inches, 109.8 cm2 (chiếm khoảng 87.4% thân máy)","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),160.8 x 78.1 x 7.4 mm (6.33 x 3.07 x 0.29 in),,,228 g (8.04 oz),
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro 512GB,iOS 14,,,30.990.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.0","1170 x 2532 pixels, 19.59",512GB,"6.1 inches, 90.2 cm2","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,189 g (6.67 oz),
,"Vàng, Xám, Bạc, Xanh Đen",A13 Bionic,12MP,,,iPhone 11 Pro Max 256GB,IOS 13,,,24.490.000đ,4 GB,"3 camera 12MP (rộng, siêu rộng, tele)",2688 x 1242,256 GB,6.5 inch,"OLED Multi-Touch, HDR, XDR Super Retina",SIM kép,"158 x 77,8 x 8,1mm",,,226g,
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro Max 256GB,iOS 14,,,28.990.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.2, quét độ sâu TOF 3D LiDAR scanner","1284 x 2778 pixels, 19.59",256GB,"6.7 inches, 109.8 cm2 (chiếm khoảng 87.4% thân máy)","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),160.8 x 78.1 x 7.4 mm (6.33 x 3.07 x 0.29 in),,,228 g (8.04 oz),
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro 256GB,iOS 14,,,26.790.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.0","1170 x 2532 pixels, 19.59",256GB,"6.1 inches, 90.2 cm2","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,189 g (6.67 oz),
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro Max 128GB,iOS 14,,,26.890.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.2, quét độ sâu TOF 3D LiDAR scanner","1284 x 2778 pixels, 19.59",128GB,"6.7 inches, 109.8 cm2 (chiếm khoảng 87.4% thân máy)","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),160.8 x 78.1 x 7.4 mm (6.33 x 3.07 x 0.29 in),,,228 g (8.04 oz),
"Bluetooth 5.0, A2DP, LE","Bạc, Than Chì, Vàng, Xanh Thái Bình Dương",Apple A14 Bionic (5 nm) 6 nhân,12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 Pro 128GB,iOS 14,,,24.590.000đ,6GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4, telephoto 12 MP ƒ/2.0","1170 x 2532 pixels, 19.59",128GB,"6.1 inches, 90.2 cm2","Super Retina XDR OLED, HDR10, 800 nits đến 1200 nits",SIM đơn (Nano-SIM và/hoặc eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,189 g (6.67 oz),
,,,,,,iPhone 11 Pro Max Hàng Công Ty,,,,30.299.000đ,,,,,,,,,,,,
,"Vàng, Xám, Bạc, Xanh Đen",A13 Bionic,12 MP,,,iPhone 11 Pro Max 512GB,IOS 13,,,29.990.000đ,4 GB,"3 camera 12MP (rộng, siêu rộng, tele)",Full HD+ (1080 x 2340 Pixels),512GB,6.5 inch,"OLED Multi-Touch, HDR, XDR Super Retina",SIM kép,"158 x 77,8 x 8,1mm",,,226g,
"Bluetooth 5.0, A2DP, LE","Đen, Trắng, Đỏ, Xanh Lá, Xanh Navy",Apple A14 Bionic (5nm) (6 nhân),12 MP ƒ/ 2.2,Apple GPU (4 nhân),,iPhone 12 256GB,iOS 14,,,22.990.000đ,4GB,"camera góc rộng 12 MP ƒ/1.6, camera góc siêu rộng 12 MP ƒ/2.4","1170 x 2532 pixels, 19.59",256GB,"6.1 inches, 90.2 cm2 (chiếm khoảng 86.0% thân máy)","Super Retina XDR OLED, HDR10, 625 nits đến 1200 nits",SIM đơn (Nano-SIM hoặc eSIM),146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),,,164 g (5.78 oz),
