bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Apple A13 Bionic,12MP,,https://didongthongminh.vn/iphone-11-64gb-2019,iPhone 11 64GB Chính Hãng VN/A,,,,"15,650,000 VNĐ",4 GB,Dual 12 MP,,64 GB,"IPS LCD , 6.1 inches",,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-max-128gb-chinh-hang,iPhone 12 Pro Max 128GB Chính Hãng VN/A,,,,"28,950,000 VNĐ",6 GB,Camera chính 12MP,,128 GB,Super Retina XDR OLED 6.7 inch,,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-64gb-hang-chinh-hang-vna,iPhone 12 64GB Chính Hãng VN/A,,,,"19,750,000 VNĐ",4 GB,,,64 GB,Full HD+,,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-128gb-chinh-hang,iPhone 12 Pro 128GB Chính Hãng VN/A,,,,"26,490,000 VNĐ",6 GB,,,128 GB,Super Retina XDR OLED 6.1 inch,,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-max-256gb-chinh-hang-vn-a,iPhone 12 Pro Max 256GB Chính Hãng VN/A,,,,"31,690,000 VNĐ",6 GB,Camera chính 12MP,,256GB,Super Retina XDR OLED 6.7 inch,,,,,,,
,,Apple A12 Bionic,7.0 MP,,https://didongthongminh.vn/iphone-xr-64gb-moi-chinh-hang,iPhone XR 64Gb Chính Hãng VN/A,,,,"11,650,000 VNĐ",3 GB,12 MP,,64 GB,"IPS LCD , 6.1 inches",,,,,,,
,,Apple A13 Bionic,12MP,,https://didongthongminh.vn/iphone-11-128gb-chinh-hang-vn-a,iPhone 11 128GB Chính Hãng VN/A,,,,"17,390,000 VNĐ",4 GB,Dual 12 MP,,128 GB,"IPS LCD , 6.1 inches",,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-mini-64gb-chinh-hang,iPhone 12 Mini 64GB Chính Hãng VN/A,,,,"15,890,000 VNĐ",4 GB,,,64 GB,"IPS LCD, 5.4 inch",,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-pro-256gb-chinh-hang-vn-a,iPhone 12 Pro 256GB Chính Hãng VN/A,,,,"28,290,000 VNĐ",6 GB,,,256 GB,Super Retina XDR OLED 6.1 inch,,,,,,,
,,Apple A14 Bionic,,,https://didongthongminh.vn/iphone-12-128gb-chinh-hang-vn-a,iPhone 12 128GB Chính Hãng VN/A,,,,"21,350,000 VNĐ",4 GB,12MP,,128 GB,Super Retina XDR OLED 6.1 inch,,,,,,,
