bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,, Chip Apple A14 Bionic,,,,            iPhone 12 64GB        ,,,,20.390.000₫,4 GB,12 MP,, ROM 64 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 Pro Max 128GB        ,,,,30.990.000₫,6 GB,12 MP,, ROM 128 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 Pro Max 512GB        ,,,,41.490.000₫,6 GB,12 MP,, ROM 512 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 Pro 512GB        ,,,,36.490.000₫,6 GB,12 MP,, ROM 512 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 Pro Max 256GB        ,,,,34.990.000₫,6 GB,12 MP,, ROM 256 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 Pro 256GB        ,,,,28.690.000₫,6 GB,12 MP,, ROM 256 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 Pro 128GB        ,,,,28.490.000₫,6 GB,12 MP,, ROM 128 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 256GB        ,,,,25.490.000₫,4 GB,12 MP,, ROM 256 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 128GB        ,,,,23.990.000₫,4 GB,12 MP,, ROM 128 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 mini 256GB        ,,,,21.490.000₫,4 GB,12 MP,, ROM 256 GB,,,,,,,,
,, Chip Apple A13 Bionic,,,,            iPhone 11 256GB        ,,,,20.990.000₫,4 GB,12 MP,, ROM 256 GB,,,,,,,,
,, Chip Apple A13 Bionic,,,,            iPhone 11 128GB        ,,,,19.990.000₫,4 GB,12 MP,, ROM 128 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 mini 128GB        ,,,,19.490.000₫,4 GB,12 MP,, ROM 128 GB,,,,,,,,
,, Chip Apple A14 Bionic,,,,            iPhone 12 mini 64GB        ,,,,17.990.000₫,4 GB,12 MP,, ROM 64 GB,,,,,,,,
,, Chip Apple A13 Bionic,,,,            iPhone 11 64GB        ,,,,16.390.000₫,4 GB,12 MP,, ROM 64 GB,,,,,,,,
,, Chip Apple A12 Bionic,,,,            iPhone Xr 128GB        ,,,,15.490.000₫,3 GB,7 MP,, ROM 128 GB,,,,,,,,
,, Chip Apple A13 Bionic,,,,            iPhone SE 256GB (2020)        ,,,,14.490.000₫,3 GB,7 MP,, ROM 256 GB,,,,,,,,
,, Chip Apple A13 Bionic,,,,            iPhone SE 128GB (2020) (Hộp mới)        ,,,,12.490.000₫,3 GB,7 MP,, ROM 128 GB,,,,,,,,
,, Chip Apple A13 Bionic,,,,            iPhone SE 128GB (2020)        ,,,,12.490.000₫,3 GB,7 MP,, ROM 128 GB,,,,,,,,
,, Chip Apple A12 Bionic,,,,            iPhone Xr 64GB        ,,,,11.990.000₫,3 GB,7 MP,, ROM 64 GB,,,,,,,,
