bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-256gb-xanh.html,Điện thoại iPhone 12 Pro 256GB Xanh,,,,31.490.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 256 GB ," 6.1 "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-256gb-xam.html,Điện thoại iPhone 12 Pro 256GB Xám,,,,31.490.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 256 GB ," 6.1 "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-128gb-xanh.html,Điện thoại iPhone 12 Pro 128GB Xanh,,,,27.490.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 128 GB ," 6.1 "" ",,,,,,,
 Bluetooth 5.0  ,, Apple A14 Bionic , 12MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-64gb-do.html,Điện thoại iPhone 12 64GB Đỏ,,,,21.490.000 VNĐ, 4 GB , 12 MP (kép) , 2532 x 1170 pixels , 64 GB ," 6.1 inch "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-128gb-bac.html,Điện thoại iPhone 12 Pro 128GB Bạc,,,,27.490.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 128 GB ," 6.1 "" ",,,,,,,
 Bluetooth 5.0  ,, Apple A14 Bionic , 12MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-64gb-den.html,Điện thoại iPhone 12 64GB Đen,,,,21.490.000 VNĐ, 4 GB , 12 MP (kép) , 2532 x 1170 pixels , 64 GB ," 6.1 inch "" ",,,,,,,
 Bluetooth 5.0  ,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-128gb-den.html,Điện thoại iPhone 12 128GB Đen,,,,22.490.000 VNĐ, 4 GB , 12 MP (kép) , 2532 x 1170 pixels , 128 GB ," 6.1 inch "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-256gb-vang.html,Điện thoại iPhone 12 Pro 256GB Vàng,,,,31.490.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 256 GB ," 6.1 "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-128gb-vang.html,Điện thoại iPhone 12 Pro 128GB Vàng,,,,27.490.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 128 GB ," 6.1 "" ",,,,,,,
 Bluetooth 5.0 ,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-128gb-do.html,Điện thoại iPhone 12 128GB Đỏ,,,,22.490.000 VNĐ, 4 GB , 12 MP (kép) , 2532 x 1170 pixels , 128 GB ," 6.1 inch "" ",,,,,,,
 Bluetooth 5.0 ,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-mini-64gb-xanh-duong.html,Điện thoại iPhone 12 Mini 64GB Xanh dương,,,,16.990.000 VNĐ, 4 GB , 12 MP (kép) , 2340 x 1080 pixels , 64 GB ," 5.4 "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-max-128gb-xam.html,Điện thoại iPhone 12 Pro Max 128GB Xám,,,,30.990.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 128 GB ," 6.7 "" ",,,,,,,
 Bluetooth 5.0  ,, Apple A14 Bionic , 12MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-64gb-xanh-duong.html,Điện thoại iPhone 12 64GB Xanh dương,,,,21.490.000 VNĐ, 4 GB , 12 MP (kép) , 2532 x 1170 pixels , 64 GB ," 6.1 inch "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-max-128gb-xanh.html,Điện thoại iPhone 12 Pro Max 128GB Xanh,,,,30.990.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 128 GB ," 6.7 "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-max-256gb-xanh.html,Điện thoại iPhone 12 Pro Max 256GB Xanh,,,,33.790.000 VNĐ, 6 GB ," 12 MP, 12 MP, 12 MP ",, 256 GB ," 6.7 "" ",,,,,,,
,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-pro-max-256gb-xam.html,Điện thoại iPhone 12 Pro Max 256GB Xám,,,,33.790.000 VNĐ, 6 GB ," 12 MP, 12 MP,12 MP ",, 256 GB ," 6.7 "" ",,,,,,,
 Bluetooth 5.0 ,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-mini-64gb-den.html,Điện thoại iPhone 12 Mini 64GB Đen,,,,16.990.000 VNĐ, 4 GB ," 12 MP, 12 MP ", 2340 x 1080 pixels , 64 GB ," 5.4 "" ",,,,,,,
 Bluetooth 5.0 ,, Apple A14 Bionic , 12 MP ,,https://www.nguyenkim.com/dien-thoai-iphone-12-mini-128gb-den.html,Điện thoại iPhone 12 Mini 128GB Đen,,,,19.490.000 VNĐ, 4 GB , 12 MP (kép) , 2340 x 1080 pixels , 128 GB ," 5.4 "" ",,,,,,,
