bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
"5.0, A2DP, LE",,A14 Bionic,"12 MP, f/2.2, 23mm (wide), 1/3.6""",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-max-512gb-new-fullbox-100-lla-dp413.html,Điện thoại Apple iPhone 12 Pro Max - 512GB - NEW FULLBOX 100% LL/A,,,,"34,390,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",Super Retina XDR OLED 1284 x 2278 pixels,512GB,6.7 inch,,,,,,,
"5.0, A2DP, LE",,A14 Bionic,"12 MP, f/2.2, 23mm (wide), 1/3.6""",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-max-256gb-new-fullbox-100-zaa-dp356.html,Điện thoại Apple iPhone 12 Pro Max - 256GB - NEW FULLBOX 100% ZA/A,,,,"31,690,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",Super Retina XDR OLED 1284 x 2278 pixels,256GB,6.7 inch,,,,,,,
"5.0, A2DP, LE",,A14 Bionic,"12 MP, f/2.2, 23mm (wide), 1/3.6""",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-max-256gb-new-fullbox-100-vna-dp411.html,Điện thoại Apple iPhone 12 Pro Max - 256GB - NEW FULLBOX 100% VN/A,,,,"31,690,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",Super Retina XDR OLED 1284 x 2278 pixels,256GB,6.7 inch,,,,,,,
"5.0, A2DP, LE",,A14 Bionic,"12 MP, f/2.2, 23mm (wide), 1/3.6""",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-max-256gb-new-fullbox-100-lla-dp399.html,Điện thoại Apple iPhone 12 Pro Max - 256GB - NEW FULLBOX 100% LL/A,,,,"28,990,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",Super Retina XDR OLED 1284 x 2278 pixels,256GB,6.7 inch,,,,,,,
"5.0, A2DP, LE",,A14 Bionic,"12 MP, f/2.2, 23mm (wide), 1/3.6""",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-max-128gb-new-fullbox-100-zaa-dp355.html,Điện thoại Apple iPhone 12 Pro Max - 128GB - NEW FULLBOX 100% ZA/A,,,,"28,890,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",Super Retina XDR OLED 1284 x 2278 pixels,128GB,6.7 inch,,,,,,,
"5.0, A2DP, LE",,A14 Bionic,"12 MP, f/2.2, 23mm (wide), 1/3.6""",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-max-128gb-new-fullbox-100-vna-dp410.html,Điện thoại Apple iPhone 12 Pro Max - 128GB - NEW FULLBOX 100% VN/A,,,,"28,890,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",Super Retina XDR OLED 1284 x 2278 pixels,128GB,6.7 inch,,,,,,,
"LE, A2DP, v5.0",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-256gb-new-fullbox-100-dp341.html,Điện thoại Apple iPhone 12 Pro - 256GB - NEW FULLBOX 100% ZA/A,,,,"28,490,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",256GB,"6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)",,,,,,,
"LE, A2DP, v5.0",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-256gb-new-fullbox-100-vna-dp408.html,Điện thoại Apple iPhone 12 Pro - 256GB - NEW FULLBOX 100% VN/A,,,,"28,490,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",256GB,"6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)",,,,,,,
"LE, A2DP, v5.0",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-256gb-new-fullbox-100-lla-dp350.html,Điện thoại Apple iPhone 12 Pro - 256GB - NEW FULLBOX 100% LL/A,,,,"27,090,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)",256GB,"6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)",,,,,,,
"5.0, A2DP, LE",,A14 Bionic,"12 MP, f/2.2, 23mm (wide), 1/3.6""",,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-pro-max-128gb-new-fullbox-100-lla-dp398.html,Điện thoại Apple iPhone 12 Pro Max - 128GB - NEW FULLBOX 100% LL/A,,,,"26,690,000 VNĐ",6GB,"12 MP, f/1.6, 26mm (wide), 1.7µm, dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",Super Retina XDR OLED 1284 x 2278 pixels,128GB,6.7 inch,,,,,,,
