bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://www.truesmart.com.vn/iphone-6-plus/iphone-6-plus-16gb-quoc-te-chinh-hang-cu.html,IPhone 6 Plus 16GB Quốc Tế Chính Hãng Cũ,,,,"3,550,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/iphone-6-plus/iphone-6-plus-64gb-quoc-te-chinh-hang-cu.html,IPhone 6 Plus 64GB Quốc Tế Chính Hãng Cũ,,,,"4,250,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/iphone-6/iphone-6-16gb-quoc-te-chinh-hang-cu.html,IPhone 6 16GB Quốc Tế Chính Hãng Cũ,,,,"2,550,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/iphone-6/iphone-6-64gb-quoc-te-chinh-hang-cu.html,IPhone 6 64GB Quốc Tế Chính Hãng Cũ,,,,"3,350,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/iphone-6s/iphone-6s-16gb-quoc-te-chinh-hang-cu.html,IPhone 6s 16GB Quốc Tế Chính Hãng Cũ,,,,"2,750,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/iphone-6s/iphone-6s-32gb-quoc-te-chinh-hang-cu.html,IPhone 6s 32GB Quốc Tế Chính Hãng Cũ,,,,"3,050,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/iphone-7/iphone-7-128gb-quoc-te-chinh-hang-cu.html,IPhone 7 128GB Quốc Tế Chính Hãng Cũ,,,,"3,350,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/23/iphone-5s-16gb-32gb-64gb-99-trang.html,iPhone 5S Quốc Tế 32GB Chính Hãng Cũ,,,,"2,150,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/25/iphone-5s-16gb-32gb-64gb-99-den.html,iPhone 5S Quốc Tế 64GB Chính Hãng Cũ,,,,Liên hệ,,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/iphone-x/iphone-x-256gb-quoc-te-chinh-hang-cu.html,IPhone X 256GB Quốc Tế Chính Hãng Cũ,,,,"8,950,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.truesmart.com.vn/iphone-x/iphone-x-lock-64gb-chinh-hang-cu.html,iPhone X LOCK 64Gb Chính Hãng Cũ,,,,"6,050,000 VNĐ",,,,,,,,,,,,
