bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
"5.0, A2DP, LE",,A14 Bionic 6 nhân,,,https://www.xtsmart.vn/iphone-12-pro-256gb,iPhone 12 Pro 256GB,,,,"27,500,000 VNĐ",,,1170 x 2532 pixels,256GB,6.1 inch,,,,,,,
"5.0, A2DP, LE",,Apple A12 Bionic 6 nhân,,,https://www.xtsmart.vn/iphone-xs-256gb-quoc-te-likenew,iPhone XS 256GB Quốc Tế (Likenew),,,,"9,580,000 VNĐ",4 GB,,1125 x 2436 pixels,256GB,"5.8""",,,,,,,
5.0,,Apple A14 Bionic 6 nhân (5nm),,,https://www.xtsmart.vn/iphone-12-pro-max-256gb,iPhone 12 Pro Max 256GB,,,,"30,200,000 VNĐ",6GB,,2.778 x 1.284 pixel,256GB,6.7 inch,,,,,,,
Bluetooth 5.0,,Apple A14 Bionic,,,https://www.xtsmart.vn/iphone-12-64gb,iPhone 12 64GB,,,,"20,500,000 VNĐ",Đang cập nhật,,2340 x 1080 pixels (476ppi),64GB,6.1 inch,,,,,,,
"5.0, A2DP, LE",,Apple A12 Bionic 6 nhân,,,https://www.xtsmart.vn/iphone-xs-max-64gb-quoc-te-likenew,iPhone XS Max 64GB Quốc Tế (Likenew),,,,"11,380,000 VNĐ",4 GB,,1242 x 2688 pixels,64GB,"6.5""",,,,,,,
"5.0, A2DP, LE, EDR",,Apple A10 Fusion 4 nhân 64-bit,,,https://www.xtsmart.vn/iphone-7-plus-32gb-quoc-te-likenew,iPhone 7 Plus 32GB Quốc Tế (Likenew),,,,"5,180,000 VNĐ",3GB,,Full HD (1080 x 1920 pixels),32GB,"5.5""",,,,,,,
"5.0, A2DP, LE, EDR",,Apple A11 Bionic 6 nhân,,,https://www.xtsmart.vn/iphone-8-plus-64gb-quoc-te-likenew,iPhone 8 Plus 64GB Quốc Tế (Likenew),,,,"6,580,000 VNĐ",2GB,,Full HD (1080 x 1920 pixels),64GB,"5.5""",,,,,,,
"5.0, A2DP, LE",,Apple A13 Bionic (7 nm+),,,https://www.xtsmart.vn/iphone-11-pro-256gb-quoc-te-like-new,iPhone 11 Pro 256GB Quốc Tế (Like New),,,,"17,180,000 VNĐ",4 GB,,1125 x 2436 Pixels,256GB,"5.8""",,,,,,,
"5.0, A2DP, LE, EDR",,Apple A11 Bionic 6 nhân,,,https://www.xtsmart.vn/iphone-8-plus-256gb-quoc-te-likenew,iPhone 8 Plus 256GB Quốc Tế (Likenew),,,,"7,980,000 VNĐ",2GB,,Full HD (1080 x 1920 pixels),256GB,"5.5""",,,,,,,
,,,,,https://www.xtsmart.vn/iphone-11-pro-max-512gb-cu-99,iPhone 11 Pro Max 512GB (Cũ 99%),,,,"20,780,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.xtsmart.vn/iphone-xr-64gb-cu-97,iPhone Xr 64GB (Cũ 97%),,,,"8,280,000 VNĐ",,,,,,,,,,,,
,,,,,https://www.xtsmart.vn/iphone-xr-128gb-cu-97,iPhone Xr 128GB (Cũ 97%),,,,"8,980,000 VNĐ",,,,,,,,,,,,
"5.0, A2DP, LE",,Apple A13 Bionic (7 nm+),,,https://www.xtsmart.vn/iphone-11-128gb-quoc-te-likenew,iPhone 11 128GB Quốc Tế (Likenew),,,,"14,280,000 VNĐ",4 GB,,1792 x 828 Pixels,128 GB,"6.1""",,,,,,,
"5.0, A2DP, LE, EDR",,Apple A12 Bionic 6 nhân,,,https://www.xtsmart.vn/iphone-xr-128gb-quoc-te-likenew,iPhone XR 128GB Quốc Tế (Likenew),,,,"9,280,000 VNĐ",3 GB,,828 x 1792 Pixels,128GB,"6.1""",,,,,,,
"5.0, A2DP, LE, EDR",,Apple A10 Fusion 4 nhân 64-bit,,,https://www.xtsmart.vn/iphone-7-plus-128gb-quoc-te-likenew,iPhone 7 Plus 128GB Quốc Tế (Likenew),,,,"5,580,000 VNĐ",3GB,,Full HD (1080 x 1920 pixels),128GB,"5.5""",,,,,,,
