bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://baotuyetmobile.vn/iphone-8-64gb-chinh-hang-ban-quoc-te-cu-con-moi-95-99-1-1-915766.html," IPHONE 8 64GB CŨ 95%, CÒN MỚI 99% CHÍNH HÃNG BẢN QUỐC TẾ",,,,3.168.000 VND,,,,,,,,,,,,
,,,,,https://baotuyetmobile.vn/oppo-a73-moi-100-chinh-hang-oppo-bao-hanh-12-thang-toan-quoc-1-1-1989741.html, OPPO A73 MỚI 100% CHÍNH HÃNG OPPO BẢO HÀNH 12 THÁNG TOÀN QUỐC,,,,4.668.000 VND,,,,,,,,,,,,
"LE, A2DP, v5.0",,Apple A14 Bionic 6 nhân,,Apple GPU 4 nhân,https://baotuyetmobile.vn/iphone-12-promax-256gb-moi-100-lla-1-sim-vat-ly-du-mau-nguyen-seal-1-1-1993856.html, IPHONE 12 PROMAX 128GB MỚI 100% LL/A (1 SIM VẬT LÝ) ĐỦ MÀU NGUYÊN SEAL,iOS 14,,Lightning,26.468.000 VND,6GB,,3 camera 12 MP,128GB,6.7'',"6.7"" Super Retina XDR",1 eSIM & 1 Nano SIM,Dài 158 mm - Ngang 77.8 mm - Dày 8.1 mm,,,226 g,"Dual-band, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot"
,,,,,https://baotuyetmobile.vn/iphone-6-plus-16gb-chinh-hang-moi-100-chua-kich-hoat-bao-hanh-du-12-thang-tren-apple-1-1-824709.html," IPHONE 6 32GB CŨ 95%, CÒN MỚI 99% ( ĐEN/TRẮNG/VÀNG ) CHÍNH HÃNG BẢN QUỐC TẾ",,,,1.468.000 VND,,,,,,,,,,,,
"LE, A2DP, v5.0",,Apple A14 Bionic 6 nhân,,Apple GPU 4 nhân,https://baotuyetmobile.vn/iphone-12-promax-256gb-moi-100-lla-1-sim-vat-ly-du-mau-nguyen-seal-1-1-1993864.html, IPHONE 12 PROMAX 256GB MỚI 100% LL/A (1 SIM VẬT LÝ) ĐỦ MÀU NGUYÊN SEAL,iOS 14,,Lightning,29.068.000 VND,6GB,,3 camera 12 MP,256GB,6.7'',"6.7"" Super Retina XDR",1 eSIM & 1 Nano SIM,Dài 158 mm - Ngang 77.8 mm - Dày 8.1 mm,,,226 g,"Dual-band, Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot"
,,,,,https://baotuyetmobile.vn/iphone-12-pro-max-128gb-moi-100-lla-1-sim-vat-ly-du-mau-nguyen-seal-chua-kich-hoat-chinh-hang-ban-qte-1-1-2064011.html, IPHONE 12 PRO 128GB - 256GB (1 SIM VẬT LÝ) ĐỦ MÀU CHÍNH HÃNG BẢN Q.TẾ,,,,21.968.000 VND,,,,,,,,,,,,
,,,,,https://baotuyetmobile.vn/iphone-6s-16gb-may-lock-chinh-hang-cu-con-moi-95-99-1-1-824760.html," IPhone 6S  64GB  MÁY LOCK Chính Hãng (Cũ, còn mới 95%, 99%)",,,,1.268.000 VND,,,,,,,,,,,,
,,,,,https://baotuyetmobile.vn/iphone-6-16gb-chinh-hang-quoc-te-cu-con-moi-95-99-den-trang-vang-1-1-783828.html," IPHONE 6 16GB CŨ 95%, CÒN MỚI 99% ( ĐEN/TRẮNG/VÀNG ) CHÍNH HÃNG BẢN QUỐC TẾ",,,,1.368.000 VND,,,,,,,,,,,,
,,,,,https://baotuyetmobile.vn/iphone-12-mini-64gb-moi-100-zaa-2-sim-vat-ly-du-mau-nguyen-seal-chua-kich-hoat-chinh-hang-ban-qte-1-1-1970171.html, IPHONE 12 MINI 64GB MỚI 100% ZA/A (2 SIM VẬT LÝ) ĐỦ MÀU NGUYÊN SEAL CHƯA KÍCH HOẠT CHÍNH HÃNG BẢN Q.TẾ,,,,None,,,,,,,,,,,,
,,,,,https://baotuyetmobile.vn/iphone-11promax-64gb-256gb-cu-95-moi-99-chinh-hang-ban-quoc-te-1-1-1738263.html," IPHONE 11PROMAX 64GB  CŨ 95% , MỚI 99%  CHÍNH HÃNG BẢN QUỐC TẾ",,,,16.468.000 VND,,,,,,,,,,,,
