bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-max-512gb-chinh-hang-vn-a,Apple iPhone 12 Pro Max - 512GB - Chính hãng VN/A,iOS 14,,,"37,490,000 VND",6 GB,,"1284 x 2778 Pixels, 3 camera 12 MP, 12 MP",512 GB,"6.7""",OLED,,,,,228 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-max-128gb-chinh-hang-vn-a,Apple iPhone 12 Pro Max - 128GB - Chính hãng VN/A,iOS 14,,,"28,790,000 VND",6 GB,,"1284 x 2778 Pixels, 3 camera 12 MP, 12 MP",128 GB,"6.7""",OLED,,,,,228 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-max-256gb-chinh-hang-vn-a,Apple iPhone 12 Pro Max - 256GB - Chính hãng VN/A,iOS 14,,,"31,550,000 VND",6 GB,,"1284 x 2778 Pixels, 3 camera 12 MP, 12 MP",256 GB,"6.7""",OLED,,,,,228 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-128gb-chinh-hang-vn-a,Apple iPhone 12 Pro - 128GB - Chính hãng VN/A,iOS 14,,,"26,450,000 VND",6 GB,,"1284 x 2778 Pixels, 3 camera 12 MP, 12 MP",128 GB,"6.1""",OLED,,,,,189 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-512gb-chinh-hang-vn-a,Apple iPhone 12 Pro - 512GB - Chính hãng VN/A,iOS 14,,,"33,890,000 VND",6 GB,,"1284 x 2778 Pixels, 3 camera 12 MP, 12 MP",512 GB,"6.1""",OLED,,,,,189 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-pro-256gb-chinh-hang-vn-a,Apple iPhone 12 Pro - 256GB - Chính hãng VN/A,iOS 14,,,"28,350,000 VND",6 GB,,"1284 x 2778 Pixels, 3 camera 12 MP, 12 MP",256 GB,"6.1""",OLED,,,,,189 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-64gb-chinh-hang-vn-a,Apple iPhone 12 - Chính hãng VN/A,iOS 14,,,"19,290,000 VND",4 GB,,"1170 x 2532 Pixels, 2 camera 12 MP, 12 MP",64 GB,"6.1""",OLED,,,,,164 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-256gb-chinh-hang-vn-a,Apple iPhone 12 - 256GB - Chính hãng VN/A,iOS 14,,,"23,990,000 VND",4 GB,,"1170 x 2532 Pixels, 2 camera 12 MP, 12 MP",256 GB,"6.1""",OLED,,,,,164 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-128gb-chinh-hang-vn-a,Apple iPhone 12 - 128GB - Chính hãng VN/A,iOS 14,,,"20,990,000 VND",4 GB,,"1170 x 2532 Pixels, 2 camera 12 MP, 12 MP",128 GB,"6.1""",OLED,,,,,164 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-256gb-chinh-hang-vn-a,Apple iPhone 12 mini - 256GB - Chính hãng VN/A,iOS 14,,,"21,990,000 VND",4 GB,,"Full HD+ (1080 x 2340 Pixels), 2 camera 12 MP, 12 MP",256 GB,"5.4""",OLED,,,,,135 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-128gb-chinh-hang-vn-a,Apple iPhone 12 mini - 128GB - Chính hãng VN/A,iOS 14,,,"17,990,000 VND",4 GB,,"Full HD+ (1080 x 2340 Pixels), 2 camera 12 MP, 12 MP",128 GB,"5.4""",OLED,,,,,135 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-64gb-chinh-hang-vn-a,Apple iPhone 12 mini - Chính hãng VN/A,iOS 14,,,"15,950,000 VND",4 GB,,"Full HD+ (1080 x 2340 Pixels), 2 camera 12 MP, 12 MP",64 GB,"5.4""",OLED,,,,,135 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-256gb-chinh-hang-vn-a,Apple iPhone 11 - 256GB - Chính hãng VN/A,,,,"21,690,000 VND",4 GB,,"828 x 1792 Pixels, Chính 12 MP & Phụ 12 MP, 12 MP",256 GB,"6.1""",IPS LCD,,,,,194 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-128gb-chinh-hang-vn-a,Apple iPhone 11 - 128GB - Chính hãng VN/A,iOS 14,,,"17,290,000 VND",4 GB,,"828 x 1792 Pixels, 2 camera 12 MP, 12 MP",128 GB,"6.1""",IPS LCD,,,,,194 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/iphone-11-64gb-chinh-hang-vn-a,Apple iPhone 11 - 64GB - Chính hãng VN/A,iOS 14,,,"15,680,000 VND",4 GB,,"828 x 1792 Pixels, 2 camera 12 MP, 12 MP",64 GB,"6.1""",IPS LCD,,,,,194 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/iphone-xr-128gb-chinh-hang-vn-a,iPhone XR - 128GB - Chính hãng VN/A,iOS 12,,,"13,390,000 VND",3 GB,,"828 x 1792 Pixels, 12 MP, 7 MP",128 GB,"6.1""",IPS LCD,,,,,194 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/iphone-xr-64gb-chinh-hang-vn-a,Apple iPhone XR - 64GB - Chính hãng VN/A,iOS 12,,,"11,380,000 VND",3 GB,,"828 x 1792 Pixels, 12 MP, 7 MP",64 GB,"6.1""",IPS LCD,,,,,194 g,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-256gb-phien-ban-mau-tim-chinh-hang-vn-a,Apple iPhone 12 - 256GB (Phiên bản màu tím)  - Chính hãng VN/A,,,,"24,290,000 VND",,,,,,,,,,,,
,,,,,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-128gb-phien-ban-mau-tim-chinh-hang-vn-a,Apple iPhone 12 mini - 128GB (Phiên bản màu Tím) - Chính hãng VN/A,iOS 14,,,"17,990,000 VND",4 GB,,"Full HD+ (1080 x 2340 Pixels), 2 camera 12 MP, 12 MP",128 GB,,OLED,,,,,,
