bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://shopapple123.com/iphone-7-plus/iphone-7-plus-256gb-275,IPhone 7 Plus (256GB),,,,6.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12-mini/iphone-12-mini-128gb-274,iPhone 12 Mini – 128GB,iOS 14,,,18.990.000 đ,4 GB,,12 MP,,,,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-12-mini/iphone-12-mini-64gb-273,iPhone 12 Mini - 64GB,,,,17.300.000 đ,,,2 camera 12 MP,,,OLED,,,,,,
,,Apple A14 Bionic 6 nhân,12MP,,https://shopapple123.com/iphone-12-pro/iphone-12-pro-256gb-272,iPhone 12 Pro 256GB,iOS 14,,,26.790.000 đ,6GB,3 camera 12 MP,,256GB ,,"OLED, 6.1"", Super Retina XDR",,,,,,
,,,,,https://shopapple123.com/iphone-xs/iphone-xs-64gb-like-new-271,iPhone Xs 64GB LIKE NEW,,,,9.600.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12-promax/iphone-12-promax-128gb-ll-a-270,iPhone 12 ProMax 128GB (LL/A),iOS 14,,,26.990.000 đ,6 GB,,12 MP,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12-promax/iphone-12-pro-max-256gb-ll-a-269,iPhone 12 Pro Max 256GB (LL/A),iOS 14,,,28.690.000 đ,6 GB,,12 MP,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12-pro/iphone-12-pro-128gb-260,iPhone 12 Pro 128GB,iOS 14,,,24.690.000 đ,6 GB,,12 MP,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12/iphone-12-128gb-new-256,iPhone 12 - 128GB (NEW),iOS 14,,,21.400.000 đ,6 GB,,12 MP,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12/iphone-12-64gb-new-251,iPhone 12 - 64GB (NEW),iOS 14,,,19.900.000 đ,6 GB,,12 MP,,,,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-pro/iphone-11-pro-256gb-like-new-247,iPhone 11 Pro (256GB) LIKE NEW,IOS 13,,,17.690.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-pro/iphone-11-pro-256gb-99-244,iPhone 11 Pro (256GB) 99%,IOS 13,,,16.990.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12MP,,https://shopapple123.com/iphone-11-pro/iphone-11-pro-64gb-like-new-179,iPhone 11 Pro  (64GB) LIKE NEW,IOS 13,,,16.500.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-promax/iphone-11-pro-max-256gb-like-new-204,iPhone 11 Pro Max  (256GB) LIKE NEW,IOS 13,,,21.400.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-promax/iphone-11-pro-max-256gb-99-201,iPhone 11 Pro Max (256GB) 99%,IOS 13,,,20.300.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-promax/iphone-11-pro-max-64gb-like-new-233,iPhone 11 Pro Max (64GB) LIKE NEW,IOS 13,,,20.600.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-pro/iphone-11-pro-64gb-99-211,iPhone 11 Pro  (64GB) 99%,IOS 13,,,14.990.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-promax/iphone-11-pro-max-64gb-99-195,iPhone 11 Pro Max (64GB) 99%,IOS 13,,,17.990.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11/iphone-11-128gb-like-new-189,Iphone 11  (128GB) LIKE NEW,iOS 13,,,15.200.000 đ,4 GB,,12 MP,,,IPS LCD,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11/iphone-11-64gb-like-new-173,Iphone 11 (64GB) LIKE NEW,iOS 13    ,,,13.990.000 đ,4 GB,,12 MP,,,IPS LCD,,,,,,
,,,7 MP,,https://shopapple123.com/iphone-8-plus/iphone-8-plus-64gb-like-new-136,IPhone 8 Plus (64GB) Like new,iOS 13 ,,,7.990.000 đ,3 GB ,,7 MP ,,,LED-backlit IPS LCD ,,,,,,
,,,7 MP,,https://shopapple123.com/iphone-8-plus/iphone-8-plus-64gb-99-132,IPhone 8 Plus (64GB) 99%,iOS 13 ,,,7.300.000 đ,3 GB ,,7 MP ,,,LED-backlit IPS LCD ,,,,,,
,,,7 MP,,https://shopapple123.com/iphone-7-plus/iphone-7-plus-128gb-129,IPhone 7 Plus  (128GB),iOS 13,,,5.790.000 đ,3 GB,,7 MP ,,,LED-backlit IPS LCD,,,,,,
,,Apple A10 Fusion 4 nhân,7 MP,,https://shopapple123.com/iphone-7-plus/iphone-7-plus-32gb-50,IPhone 7 Plus (32GB),iOS 12,,,4.790.000 đ,3 GB,Chính 12 MP & Phụ 12 MP,,32 GB,,"LED - backlit IPS LCD, 5.5 inch, Retina HD",,,,,,
,,,,,https://shopapple123.com/iphone-7-plus/iphone-7-plus-256gb-275,IPhone 7 Plus (256GB),,,,6.590.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12-mini/iphone-12-mini-128gb-274,iPhone 12 Mini – 128GB,iOS 14,,,18.990.000 đ,4 GB,,12 MP,,,,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-12-mini/iphone-12-mini-64gb-273,iPhone 12 Mini - 64GB,,,,17.300.000 đ,,,2 camera 12 MP,,,OLED,,,,,,
,,Apple A14 Bionic 6 nhân,12MP,,https://shopapple123.com/iphone-12-pro/iphone-12-pro-256gb-272,iPhone 12 Pro 256GB,iOS 14,,,26.790.000 đ,6GB,3 camera 12 MP,,256GB ,,"OLED, 6.1"", Super Retina XDR",,,,,,
,,,,,https://shopapple123.com/iphone-xs/iphone-xs-64gb-like-new-271,iPhone Xs 64GB LIKE NEW,,,,9.600.000 đ,,,,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12-promax/iphone-12-promax-128gb-ll-a-270,iPhone 12 ProMax 128GB (LL/A),iOS 14,,,26.990.000 đ,6 GB,,12 MP,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12-promax/iphone-12-pro-max-256gb-ll-a-269,iPhone 12 Pro Max 256GB (LL/A),iOS 14,,,28.690.000 đ,6 GB,,12 MP,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12-pro/iphone-12-pro-128gb-260,iPhone 12 Pro 128GB,iOS 14,,,24.690.000 đ,6 GB,,12 MP,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12/iphone-12-128gb-new-256,iPhone 12 - 128GB (NEW),iOS 14,,,21.400.000 đ,6 GB,,12 MP,,,,,,,,,
,,,,,https://shopapple123.com/iphone-12/iphone-12-64gb-new-251,iPhone 12 - 64GB (NEW),iOS 14,,,19.900.000 đ,6 GB,,12 MP,,,,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-pro/iphone-11-pro-256gb-like-new-247,iPhone 11 Pro (256GB) LIKE NEW,IOS 13,,,17.690.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-pro/iphone-11-pro-256gb-99-244,iPhone 11 Pro (256GB) 99%,IOS 13,,,16.990.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12MP,,https://shopapple123.com/iphone-11-pro/iphone-11-pro-64gb-like-new-179,iPhone 11 Pro  (64GB) LIKE NEW,IOS 13,,,16.500.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-promax/iphone-11-pro-max-256gb-like-new-204,iPhone 11 Pro Max  (256GB) LIKE NEW,IOS 13,,,21.400.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-promax/iphone-11-pro-max-256gb-99-201,iPhone 11 Pro Max (256GB) 99%,IOS 13,,,20.300.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-promax/iphone-11-pro-max-64gb-like-new-233,iPhone 11 Pro Max (64GB) LIKE NEW,IOS 13,,,20.600.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-pro/iphone-11-pro-64gb-99-211,iPhone 11 Pro  (64GB) 99%,IOS 13,,,14.990.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11-promax/iphone-11-pro-max-64gb-99-195,iPhone 11 Pro Max (64GB) 99%,IOS 13,,,17.990.000 đ,4 GB,,12 MP,,,OLED,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11/iphone-11-128gb-like-new-189,Iphone 11  (128GB) LIKE NEW,iOS 13,,,15.200.000 đ,4 GB,,12 MP,,,IPS LCD,,,,,,
,,,12 MP,,https://shopapple123.com/iphone-11/iphone-11-64gb-like-new-173,Iphone 11 (64GB) LIKE NEW,iOS 13    ,,,13.990.000 đ,4 GB,,12 MP,,,IPS LCD,,,,,,
,,,7 MP,,https://shopapple123.com/iphone-8-plus/iphone-8-plus-64gb-like-new-136,IPhone 8 Plus (64GB) Like new,iOS 13 ,,,7.990.000 đ,3 GB ,,7 MP ,,,LED-backlit IPS LCD ,,,,,,
,,,7 MP,,https://shopapple123.com/iphone-8-plus/iphone-8-plus-64gb-99-132,IPhone 8 Plus (64GB) 99%,iOS 13 ,,,7.300.000 đ,3 GB ,,7 MP ,,,LED-backlit IPS LCD ,,,,,,
,,,7 MP,,https://shopapple123.com/iphone-7-plus/iphone-7-plus-128gb-129,IPhone 7 Plus  (128GB),iOS 13,,,5.790.000 đ,3 GB,,7 MP ,,,LED-backlit IPS LCD,,,,,,
,,Apple A10 Fusion 4 nhân,7 MP,,https://shopapple123.com/iphone-7-plus/iphone-7-plus-32gb-50,IPhone 7 Plus (32GB),iOS 12,,,4.790.000 đ,3 GB,Chính 12 MP & Phụ 12 MP,,32 GB,,"LED - backlit IPS LCD, 5.5 inch, Retina HD",,,,,,
