bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2",,https://www.viettablet.com/iphone-12-64gb-chinh-hang-vn,iPhone 12 64GB (Chính Hãng VN/A),    iOS 14,,,19.490.000,,    Camera kép,    1170 x 2532 pixels,    64GB,    6.1 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2",,https://www.viettablet.com/iphone-12-128gb-chinh-hang-vna,iPhone 12 128GB (Chính Hãng VN/A),    iOS 14,,,20.990.000,,    Camera kép,    1170 x 2532 pixels,    128GB,    6.1 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2",,https://www.viettablet.com/iphone-12-64gb-lock,iPhone 12 64GB (Lock),    iOS 14,,,15.590.000,,    Camera kép,    1170 x 2532 pixels,    64GB,    6.1 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2",,https://www.viettablet.com/iphone-12-256gb-chinh-hang-vn,iPhone 12 256GB (Chính Hãng VN/A),    iOS 14,,,22.990.000,,    Camera kép,    1170 x 2532 pixels,    256GB,    6.1 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2",,https://www.viettablet.com/iphone-12-cu-like-new-99,iPhone 12 64GB (Like New 99%) Chính hãng VN/A,    iOS 14,,,16.990.000,,    Camera kép,    1170 x 2532 pixels,    64GB,    6.1 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-mini-64gb-chinh-hang-vn,iPhone 12 Mini 64GB (Chính Hãng VN/A),    iOS 14,,,16.590.000,,    Camera kép,    1080 x 2340 pixels,    64GB,    5.4 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-mini-128gb-chinh-hang-vn,iPhone 12 Mini 128GB (Chính Hãng VN/A),    iOS 14,,,17.790.000,,    Camera kép,    1080 x 2340 pixels,    128GB,    5.4 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-mini-256gb-chinh-hang-vn,iPhone 12 Mini 256GB (Chính Hãng VN/A),    iOS 14,,,20.390.000,,    Camera kép,    1080 x 2340 pixels,    256GB,    5.4 inches,,,,,,,
,,    Apple A11 Bionic 6 nhân,     7 MP,,https://www.viettablet.com/iphone-x-cu-like-new-99,iPhone X 64GB Quốc Tế Cũ Like New 99%,     IOS 12,,,7.290.000,    3 GB,    2 camera 12 MP,     1125 x 2436 pixels,    64GB,    5.8 inch,,,,,,,
,,    Apple A11 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-x-256gb-like-new,iPhone X 256GB Quốc Tế Cũ Like New 99%,     IOS 11,,,7.990.000,    3GB,    2 camera 12 MP,    1125 x 2436 pixels,    256GB,     5.8 inch,,,,,,,
,,    Apple A11 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-x-64gb-fullbox,iPhone X 64GB Mới 100% Fullbox,    IOS 11,,,10.990.000,    3GB,    2 camera 12 MP,    1125 x 2436 pixels,    64GB,     5.8 inch,,,,,,,
,,    Apple A11 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-x-256gb-moi-100-chua-active-troi-bao-hanh,iPhone X 256GB (mới 100% Chưa Active) Trôi bảo hành,    IOS 11,,,12.790.000,    3GB,    2 camera 12 MP,    1125 x 2436 pixels,    256GB,     5.8 inch,,,,,,,
,,    Apple A11 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-x-256gb-fullbox,iPhone X 256GB (Chưa Active) mới 100%,     IOS 11,,,15.390.000,    3GB,    2 camera 12 MP,    1125 x 2436 pixels,    256 GB,     5.8 inch,,,,,,,
,,    Apple A11 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-x-64gb-lock-full-box-da-active,iPhone X 64GB CPO Mới FullBox,     IOS 11,,,11.890.000,    3GB,    2 camera 12 MP,    1125 x 2436 pixels,    64B,    5.8 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xr-moi-100-vna-chua-active-troi-bao-hanh,iPhone XR 64GB Mới 100% (Chưa Active - TBH),    iOS 12,,,9.290.000,    3 GB,    12 MP,     828 x 1792 pixels,    64 GB,    6.1 inch,,,,,,,
,,    Apple A11 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-x-256gb-cpo-moi-fullbox,iPhone X 256GB CPO Mới FullBox,     IOS 11,,,13.300.000,    3GB,    2 camera 12 MP,    1125 x 2436 pixels,     128 GB,    5.8 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-cu-like-new,iPhone XS 64GB (Like New 99%),    iOS 12,,,8.190.000,    4 GB,    2 camera 12 MP,    1125 x 2436 pixels,    64 GB,     5.8 inch,,,,,,,
,,    Apple A13 Bionic (7 nm+),    2 Camera,,https://www.viettablet.com/iphone-11-pro-64gb-like-new-99,iPhone 11 Pro 64GB (Like New 99%),    iOS 13,,,13.990.000,    4GB,    3 Camera,    1125 x 2436 pixels,    64GB,    5.8 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-64gb-like-new-99,iPhone 11 Pro Max 64GB (Like New 99%),    iOS 13,,,16.490.000,    4GB,    3 Camera,    1242 x 2688 pixels,    64GB,    6.5 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-lock-64gb,iPhone 11 Pro Max 64GB Lock Nhật - Mỹ,    iOS 13,,,15.290.000,    4GB,    3 Camera,    1242 x 2688 pixels,    64GB,    6.5 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-max-128gb-chinh-hang,iPhone 12 Pro Max 128GB (Chính Hãng VN/A),    iOS 14,,,27.990.000,,    3 Camera,    1284 x 2778 pixels,    128GB,    6.7 inches,,,,,,,
