bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Apple A12 Bionic 6 nhân,7 MP,,https://www.xtmobile.vn/iphone-xs-64gb-likenew-99-,iPhone Xs 64GB (Cũ 99%),iOS,,,8.690.000,4 GB,2 camera 12 MP,,64 GB,,"OLED, 5.8"", Super Retina",1 Nano Sim,,,,,
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-pro-64gb-like-new,iPhone 11 Pro 64GB (Cũ 99%),iOS,,,15.390.000,4 GB,12 MP + 12 MP + 12 MP,,64 GB,,"5.8"" Super Retina XDR",Nano-Sim,,,,,
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-pro-max-64gb-like-new,iPhone 11 Pro Max 64GB (Cũ 99%),iOS,,,17.890.000,4 GB,12 MP + 12 MP + 12 MP,,64 GB,,"6.5"" Super Retina XDR",Nano-Sim,,,,,
,,Apple A11 Bionic 6 nhân,7 MP,,https://www.xtmobile.vn/iphone-8-plus-64gb-may-cu-99,iPhone 8 Plus 64GB (Cũ 99%),iOS,,,6.590.000,3 GB,2 camera 12 MP,,64 GB,,"LED-backlit IPS LCD, 5.5"", Retina HD",1 Nano SIM,,,,,
,,Apple A12 Bionic 6 nhân,7 MP,,https://www.xtmobile.vn/iphone-xs-max-64gb-likenew-99,iPhone Xs Max 64GB (Cũ 99%),iOS,,,11.190.000,4 GB,2 camera 12 MP,,64 GB,,"OLED, 6.5"", Super Retina",1 Nano Sim,,,,,
,,Apple A10 Fusion 4 nhân 64-bit,7 MP,,https://www.xtmobile.vn/iphone-7-plus-32gb-likenew-99,iPhone 7 Plus 32GB (Cũ 99%),IOS,,,5.190.000,3 GB,2 camera 12 MP,,32 GB,,"LED-backlit IPS LCD, 5.5"", Retina HD",1 Nano SIM,,,,,
,,Apple A13 Bionic 6 nhân (7nm+),12 MP,,https://www.xtmobile.vn/iphone-11-64gb-vna,iPhone 11 64GB Chính hãng (VN/A),iOS,,,15.650.000,4 GB,12 MP + 12 MP,,64 GB,,"6.1"" Liquid Retina LCD",Nano-Sim,,,,,
,,Apple A14 Bionic,12MP True Depth,,https://www.xtmobile.vn/iphone-12-64gb-vna,iPhone 12 64GB Chính hãng (VN/A),iOS 14,,,19.350.000,4GB,Camera kép 12 + 12MP góc rộng và góc siêu rộng,,64GB,,OLED,1 Nano Sim - 1 eSim,,,,,
,,Apple A14 Bionic 6 nhân (5nm),12 MP,,https://www.xtmobile.vn/iphone-12-pro-max-128gb-vna,iPhone 12 Pro Max 128GB Chính hãng (VN/A),iOS,,,28.350.000,6GB LPDDR5,12 MP + 12 MP + 12 MP + LiDAR,,128GB,,"6.7"" Super Retina XDR",Nano-Sim,,,,,
,,A14 Bionic,12MP,,https://www.xtmobile.vn/iphone-12-pro-128gb-vna,iPhone 12 Pro 128GB Chính hãng (VN/A),iOS 14,,,26.150.000,6GB,"12MP, 12MP, 12MP",,128GB,,6.1 inch,1 Nano SIM và 1 eSIM,,,,,
