bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,"Intel Iris Plus Graphics , Retina display with True Tone",,,https://mac24h.vn/macbook-air-2020-13-inch-core-i3-8gb-256gb.html,Macbook Air 2020,,,,23.500.000,8GB 3733MHz LPDDR4X memory,,,,,,,,,,,
,,2.6GHz 6-core 9th-generation Intel Core i7 processor,,,https://mac24h.vn/macbook-pro-16-inch-2.6ghz-6-core-512gb-ssd-radeon-pro-5300m.html,"Macbook Pro 16 inch 2.6GHz 6-Core I7 512GB SSD Radeon Pro 5300M ( MVVJ2 , MVVL2 )",,,,53.900.000,16GB 2666MHz DDR4 memory,,,,,,,,,,,
,,"2.3GHz 8‑core 9th‑generation Intel Core i9 processor, Turbo Boost up to 4.8GHz",,,https://mac24h.vn/macbook-pro-16-inch-2.3ghz-8-core-32gb-1tb-ssd-radeon-pro-5500m-8gb.html,Macbook Pro 16 inch 2.3GHz 8-Core I9  32GB  1TB SSD Radeon Pro 5500M 8GB,,,,84.500.000,AMD Radeon Pro 5500M with 8GB of GDDR6 memory,,,,,,,,,,,
,,Intel Iris Plus Graphics,,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i7-2.3ghz-32gb-1000gb.html,Macbook Pro 13 inch 2020,,,,50.900.000,32GB 3733MHz LPDDR4X memory,,,,,,,,,,,
,,2.3GHz 8-core 9th-generation Intel Core i9 processor,,,https://mac24h.vn/macbook-pro-16-inch-2.3ghz-8-core-1tb-ssd-radeon-pro-5500m.html,"Macbook Pro 16 inch 2.3GHz 8-Core I9 1TB SSD Radeon Pro 5500M ( MVVK2 , MVVM2 )",,,,56.500.000,16GB 2666MHz DDR4 memory,,,,,,,,,,,
,,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",,,https://mac24h.vn/macbook-pro-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd.html,Macbook Pro M1 13 inch 2020,,,,29.700.000,8GB unified memory ,,,,,,,,,,,
,,Intel Iris Plus Graphics,,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i7-2.3ghz-16gb-1000gb.html,Macbook Pro 13 inch 2020,,,,58.500.000,16GB 3733MHz LPDDR4X memory,,,,,,,,,,,
,,Intel Iris Plus Graphics 645,,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb-mxk32-mxk62-used.html,Macbook Pro 13 inch 2020,,,,23.900.000,8GB 2133MHz LPDDR3 memory,,,,,,,,,,,
,,Intel Iris Plus Graphics 645,,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb-mxk32-mxk62-openbox.html,Macbook Pro 13 inch 2020,,,,25.700.000,8GB 2133MHz LPDDR3 memory,,,,,,,,,,,
,,Intel Iris Plus Graphics,,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-512gb.html,Macbook Pro 13 inch 2020,,,,41.500.000,16GB 3733MHz LPDDR4X memory,,,,,,,,,,,
,,Intel Iris Plus Graphics 655,,,https://mac24h.vn/macbook-pro-13-inch-2019-512gb-ssd-gray-sliver.html,Macbook Pro 13 inch 2019,,,,32.900.000,8GB 2133MHz LPDDR3 memory,,,,,,,,,,,
,,Intel Iris Plus Graphics 645,,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb.html,Macbook Pro 13 inch 2020,,,,29.500.000,8GB 2133MHz LPDDR3 memory,,,,,,,,,,,
,,Intel Iris Plus Graphics,,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-32gb-1000gb-mwp82-mwp52.html,Macbook Pro 13 inch 2020 Quad Core I7 2.3Ghz 32GB 2000,,,,59.900.000,32GB 3733MHz LPDDR4X memory,,,,,,,,,,,
,,"Apple M1 chip with 8‑core CPU, ‑core GPU, and 16‑core Neural Engine",,,https://mac24h.vn/macbook-air-13-inch-2020-apple-m1-8-core-cpu-8gb-512gb-ssd-mgn73-mgna3-mgne3.html,Macbook Air M1 13 inch 2020,,,,29.900.000,8GB unified memory,,,,,,,,,,,
,,Intel Iris Plus Graphics 655,,,https://mac24h.vn/macbook-pro-13-inch-2019-mv972-core-i7-2.8ghz-16gb-1000gb-ssd-new-100.html,Macbook Pro 13 inch 2019,,,,44.900.000,16GB 2133MHz LPDDR3 memory,,,,,,,,,,,
,,Intel Iris Plus Graphics,,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-1000gb.html,Macbook Pro 13 inch 2020,,,,45.500.000,16GB 3733MHz LPDDR4X memory,,,,,,,,,,,
,,- VGA: Intel HD Graphics 6000 (Tích hợp),,,https://mac24h.vn/macbook-air-mqd32-13.3-inch-2017-core-i5-ram-8gb-ssd-128gb.html,"Macbook Air MQD32 13.3 inch, 2017 Realse Date 2020",,,,17.790.000,- Bộ nhớ RAM: 8GB of 1600 MHz LPDDR3 ,,,,,,,,,,,
,,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",,,https://mac24h.vn/macbook-pro-13-inch-2020-apple-m1-8-core-cpu-8gb-512gb-ssd-myd92-mydc2.html,Macbook Pro M1 13 inch 2020,,,,35.900.000,8GB unified memory,,,,,,,,,,,
,,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",,,https://mac24h.vn/ctomacbook-air-m1-13-inch-2020-apple-m1-8-core-cpu-16gb-512gb.html,Macbook Air M1 13 inch 2020,,,,35.700.000,16GB unified memory,,,,,,,,,,,
,,Intel Iris Plus Graphics & Retina display with True Tone,,,https://mac24h.vn/macbook-air-2020-13-inch-core-i5-8gb-512gb.html,Macbook Air 2020,,,,27.700.000,8GB 3733MHz LPDDR4X memory,,,,,,,,,,,
,,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",,,https://mac24h.vn/macbook-air-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd-mgn63-mgn93-mgnd3.html,Macbook Air M1 13 inch 2020,,,,24.390.000,8GB unified memory || (,,,,,,,,,,,
,,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",,,https://mac24h.vn/ctomacbook-air-13-inch-2020-apple-m1-8-core-cpu-16gb-256gb-ssd.html,Macbook Air M1 13 inch 2020,,,,29.770.000,16GB unified memory,,,,,,,,,,,
,,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",,,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-2tb-ssd-en.html,Macbook Air M1 13 inch 2020,,,,42.700.000,16GB unified memory,,,,,,,,,,,
,,Intel Iris Plus Graphics & Retina display with True Tone,,,https://mac24h.vn/ctomacbook-air-2020-13-inch-core-i5-16gb-256gb.html,Macbook Air 2020,,,,24.500.000,16GB 3733MHz LPDDR4X memory,,,,,,,,,,,
