name,price_sale,price,err_1,Hãng sản xuất,Chủng loại,Part Number,Mầu sắc,cpu,ram,Số khe cắm,Dung lượng tối đa,VGA,rom,"Bảo mật, Công nghệ",Màn hình,Webcam,Audio,Giao tiếp mạng,Giao tiếp không dây,Cổng giao tiếp,Pin,Kích thước (rộng x dài x cao),Cân nặng,Hệ điều hành,Phụ kiện đi kèm,url,website,tssss
Apple Macbook Pro 13 Touchbar (MXK52) (i5 1.4Ghz/8GB /512GB SSD/13.3 inch IPS/Mac OS/Xám) (2020),37.689.000,40.989.000,error_value,Apple,Macbook Pro 13 - 2020,MXK52,Xám (Space Grey),"Intel Core i5 (1.4Ghz, 6MB cache)",8GB LPDDR3, , ,Intel Iris Plus Graphics,512GB SSD,TouchID,13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Lithium‑polymer, 58.2Wh", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mxk52,www.hanoicomputer.vn,40
Apple Macbook Air 13 (MVFL2) (i5 1.6Ghz/8GB RAM/256GB SSD/13.3 inch/Mac OS/Bạc) (2019),31.999.000,,error_value,Apple,Macbook Air 13 - 2019,MVFL2,Bạc (Silver) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",8GB LPDDR3, ,16GB,Intel UHD 617,256GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 4.2,"2 * USB Type C, 2* Thunder Bolt 3","Công nghệ Lithium - polymer, 49.9Wh", ,1.25 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfl2-i5-16ghz8gb-ram256gb-ssd133mac-osbac-2019,www.hanoicomputer.vn,40
Apple Macbook Pro 15 Touchbar (MV902) (i7 2.6Ghz/16GB RAM/256GB SSD/15.4 inch/Radeon 555X 4GB/Mac OS/Xám) (2019),57.899.000,,error_value,Apple,Macbook Pro 15 – 2019,MV902,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i7 (2.6Ghz, 12MB cache)",16GB  DDR4, ,32GB,Radeon Pro 555X 4GB DDR5,256GB SSD,TouchID,"15.4"" (2880x1800)",720p HD,Stereo, ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 83.6Wh",34.93 x 24.07x 1.55 (mm),1.83 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-15-touchbar-mv902-i7-26ghz16gb-ram256gb-ssd-154radeon-555x-4g-mac-osxam-2019,www.hanoicomputer.vn,40
Apple Macbook Pro 16 Touch Bar (MVVJ2SA/A) (i7 2.6Ghz/16GB RAM/512GB SSD/16.0/Radeon 5300M 4G/ 16.0/Mac OS/Xám) (2019),58.989.000,59.989.000,error_value,Apple,Macbook Pro 16 – 2019,MVVJ2SA/A,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i7 (2.6Ghz, 12MB cache)",16GB  DDR4,,32GB,AMD Radeon Pro 5300M 4GB DDR6,512GB SSD,TouchID,"16.0"" (3072 x 1920)",720p HD,Stereo,,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,,35.79 x 24.59 x 1.62 cm,2.0 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-16-touch-bar-mvvj2sa-a-i7-2-6ghz-16gb-ram-512gb-ssd-16-0-radeon-5300m-4g-16-0-mac-os-xam-2019,www.hanoicomputer.vn,40
Apple Macbook Pro 13 Touchbar (MV972) (i5 2.4Ghz/8GB RAM/512GB SSD/13.3 inch/Mac OS/Xám) (2019),42.999.000,,error_value,Apple,Macbook Pro 13 – 2019,MV972,Xám (Space Grey) – vỏ nhôm khối,"Intel Core i5  (2.4Ghz, 8MB cache)",8GB  LPDDR3, , ,Intel Iris Plus 655,512GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS LED BackLit",720p HD,Stereo, ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 58.2Wh", ,1.37 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mv972-i5-24ghz8gb-ram512gb-ssd-133mac-osxam-2019,www.hanoicomputer.vn,40
Apple Macbook Air 13 (MGNA3SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW),31.589.000,33.989.000,,Apple,Macbook Air 13 – 2020 NEW,MGNA3SA/A,Bạc (Silver),Apple M1 (chip with 8-core CPU and 8-core GPU),8GB, ,16GB,Apple GPU 8 core,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mgna3sa-a-bac-new,www.hanoicomputer.vn,40
Apple Macbook Pro 13 Touchbar (Z11B000CT) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám) ,38.599.000,41.989.000,,Apple,Macbook Pro 13,Z11B000CT,Xám (Space Grey),"Apple M1 chip with 8-core CPU and 8-core GPU, 16-core Neural Engine",16GB, ,16GB,Apple GPU with 8-core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 58.2Whr", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-z11bsa-a-xam,www.hanoicomputer.vn,40
Apple Macbook Air 13 (MGN73SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW),31.589.000,33.989.000,,Apple,Macbook Air 13 – 2020 NEW,MGN73SA/A,Xám (Space Grey),Apple M1 chip with 8-core CPU and 8-core GPU,8GB, ,16GB,Apple GPU 8 core,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mgn73sa-a-xam-new,www.hanoicomputer.vn,40
Apple Macbook Pro 13 Touchbar (Z11F) (Apple M1/16GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Bạc),43.989.000,46.989.000,,Apple,Macbook Pro 13,Z11FSA/A,Bạc (Silver),"Apple M1 chip with 8-core CPU and 8-core GPU, 16-core Neural Engine",16GB, ,16GB,Apple GPU with 8-core,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 58.2Whr", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-z11fsa-a-bac,www.hanoicomputer.vn,40
Apple Macbook Pro 13 Touchbar (MXK72) (i5 1.4Ghz/8GB /512GB SSD/13.3 inchIPS/Mac OS/Bạc) (2020),37.689.000,40.989.000,error_value,Apple,Macbook Pro 13 - 2020,MXK72,Bạc (Silver),"Intel Core i5 (1.4Ghz, 6MB cache)",8GB LPDDR3, , ,Intel Iris Plus Graphics,512GB SSD,TouchID,13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Lithium‑polymer, 58.2Wh", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mxk72,www.hanoicomputer.vn,40
Apple Macbook Pro 13 Touchbar (MYD92SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW),37.699.000,39.989.000,,Apple,Macbook Pro 13 – 2020 NEW,MYD92SA/A,Xám (Space Grey),Apple M1 chip with 8-core CPU and 8-core GPU,8GB, ,16GB,Apple GPU with 8 core,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 58.2Whr", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-myd92sa-a-xam-new,www.hanoicomputer.vn,40
Apple Macbook Air 13 (Z124000DE) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám),31.189.000,33.989.000,,Apple,Macbook Air 13,Z124SA/A,Xám (Space Grey),"Apple M1 chip with 8-core CPU and 7-core GPU, 16-core Neural Engine",16GB, ,16GB,Apple GPU with 7 core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-z124sa-a-xam,www.hanoicomputer.vn,40
Apple Macbook Air 13 (Z127000DE) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc),31.189.000,33.989.000,,Apple,Macbook Air 13 – 2020 NEW,Z127SA/A,Bạc (Silver),"Apple M1 chip with 8-core CPU and 7-core GPU, 16-core Neural Engine",16GB, ,16GB,Apple GPU with 7 core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-z127sa-a-bac-new,www.hanoicomputer.vn,50
Apple Macbook Air 13 (Z12A0004Z) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Vàng),31.189.000,33.989.000,,Apple,Macbook Air 13 – 2020 NEW,Z12ASA/A,Vàng (Gold),"Apple M1 chip with 8-core CPU and 7-core GPU, 16-core Neural Engine",16GB, ,16GB,Apple GPU with 7 core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-z12asa-a-vang-new,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MWTJ2) (i3 1.1Ghz/8GB /256GB SSD/13.3 inch IPS/MacOS/Xám) (2020),24.989.000,26.989.000,error_value,Apple,Macbook Air 13 - 2020,MWTJ2,Xám (Space Grey),"Intel Core i3 (1.1Ghz, 4MB cache)",8GB LPDDR4, ,16GB,Intel Iris Plus Graphics,256GB SSD,TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Polymer, 49.9Wh", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mwtj2,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MGN93SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW),25.789.000,26.989.000,,Apple,Macbook Air 13 – 2020 NEW,MGN93SA/A,Bạc (Silver),Apple M1 chip with 8-core CPU and 7-core GPU,8GB, ,16GB,Apple GPU 7 core ,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mgn93sa-a-bac-new,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MVFN2) (i5 1.6Ghz/8GB RAM/256GB SSD/13.3 inch/Mac OS/Vàng) (2019),31.999.000,,error_value,Apple,Macbook Air 13 - 2019,MVFN2,Vàng (Gold) – Nhôm nguyên khối,"Intel Core i5 (1.6Ghz, 4MB cache)",8GB LPDDR3, ,16GB,Intel UHD 617,256GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 4.2,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 49.9Wh", ,1.25 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvfn2-i5-16ghz8gb-ram256gb-ssd133mac-osvang-2019,www.hanoicomputer.vn,50
Apple Macbook Pro 15 Touchbar (MV922) (i7 2.6Ghz/16GB RAM/256GB SSD/15.4 inch/Radeon 555X 4GB/Mac OS/Bạc) (2019),57.899.000,,error_value,Apple,Macbook Pro 15 – 2019,MV922,Bạc (Silver) – vỏ nhôm khối,"Intel Core i7 (2.6Ghz, 12MB cache)",16GB  DDR4, , ,Radeon Pro 555X 4GB DDR5,256GB SSD,TouchID,"15.4"" (2880x1800)",720p HD,Stereo, ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 83.6Wh",34.93 x 24.07x 1.55 (mm),1.83 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-15-touchbar-mv922-i7-26ghz16gb-ram256gb-ssd-154radeon-555x-4g-mac-osbac-2019,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MWTK2) (i3 1.1Ghz/8GB /256GB SSD/13.3 inch IPS/MacOS/Bạc) (2020),24.989.000,26.989.000,error_value,Apple,Macbook Air 13 - 2020,MWTK2,Bạc (Silver),"Intel Core i3 (1.1Ghz, 4MB cache)",8GB LPDDR4, ,16GB,Intel Iris Plus Graphics,256GB SSD,TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Polymer, 49.9Wh", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mwtk2,www.hanoicomputer.vn,50
Apple Macbook Air 13 (Z12B) (Apple M1/16GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Vàng),36.989.000,39.999.000,,Apple,Macbook Air 13,Z12BSA/A,Vàng (Gold),"Apple M1 (chip with 8-core CPU and 8-core GPU), 16-core Neural Engine",16GB, ,16GB,Apple GPU with 8-core,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-z12bsa-a-vang,www.hanoicomputer.vn,50
