name,price_sale,price,shipping,cpu,params_1,ram,rom,display,params_2,params_3,params_4,url,website
"Macbook Pro 13 inch 2020 Quad Core I5 2.0Ghz 16GB 512GB (MWP42, MWP72)",41.500.000,41.500.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Turbo Boost up to 3.8GHz,16GB 3733MHz LPDDR4X memory,512GB SSD storage¹,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Four Thunderbolt 3 ports,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-512gb.html,mac24h.vn
"Macbook Pro 13 inch 2020 Quad Core I5 1.4Ghz 8GB 256GB  (MXK32, MXK62) OpenBox",25.300.000,25.300.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics 645,Turbo Boost up to 3.9GHz,8GB 2133MHz LPDDR3 memory,256GB SSD storage¹,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Two Thunderbolt 3 ports,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb-mxk32-mxk62-openbox.html,mac24h.vn
"Macbook Air 2020 13 inch Core I3 8GB 256GB (MWTJ2, MWTL2, MWTK2)",23.500.000,23.500.000,Phí giao hàng: 0 đ,"Intel Iris Plus Graphics , Retina display with True Tone",Turbo Boost up to 3.2GHz,8GB 3733MHz LPDDR4X memory,256GB SSD storage¹,,Magic Keyboard,Touch ID,Force Touch trackpad,https://mac24h.vn/macbook-air-2020-13-inch-core-i3-8gb-256gb.html,mac24h.vn
"Macbook Pro 13 inch 2020 Quad Core I5 2.0Ghz 16GB 1000GB  (MWP82, MWP52)",45.500.000,45.500.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Turbo Boost up to 3.8GHz,16GB 3733MHz LPDDR4X memory,1000GB SSD storage¹,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Four Thunderbolt 3 ports,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-1000gb.html,mac24h.vn
"Macbook Pro 13 inch 2020 Quad Core I5 1.4Ghz 8GB 256GB  (MXK32, MXK62) New 99%",23.900.000,23.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics 645,Turbo Boost up to 3.9GHz,8GB 2133MHz LPDDR3 memory,256GB SSD storage¹,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Two Thunderbolt 3 ports,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb-mxk32-mxk62-used.html,mac24h.vn
Macbook Pro 13 inch 2020 Quad Core I7 2.3Ghz 16GB 1000GB,58.500.000,58.500.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Magic Keyboard,16GB 3733MHz LPDDR4X memory,1000GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i7-2.3ghz-16gb-1000gb.html,mac24h.vn
Macbook Pro 13 inch 2020 Quad Core I7 2.3Ghz 32GB 2000GB,59.900.000,59.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Magic Keyboard,32GB 3733MHz LPDDR4X memory,2000GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-32gb-1000gb-mwp82-mwp52.html,mac24h.vn
"Macbook Air MQD32 (13.3 inch, 2017 Realse Date 2020 ) - Core i5 / RAM 8GB / SSD 128GB",17.790.000,17.790.000,Phí giao hàng: 0 đ,- VGA: Intel HD Graphics 6000 (Tích hợp),- Lưu trữ SSD: 128GB PCIe-Based Flash ,- Bộ nhớ RAM: 8GB of 1600 MHz LPDDR3 ,,,"- Màn hình: 13.3"" LED-Backlit Glossy ",- Độ phân giải: 1440 x 900 ,"- 802.11ac Wi-Fi, Bluetooth 4.0",https://mac24h.vn/macbook-air-mqd32-13.3-inch-2017-core-i5-ram-8gb-ssd-128gb.html,mac24h.vn
"Macbook Pro 13 inch 2019 512GB SSD MV972 - MV9A2 (Gray, Sliver)",32.900.000,32.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics 655,Turbo Boost up to 4.1GHz,8GB 2133MHz LPDDR3 memory,512GB SSD storage1,Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-13-inch-2019-512gb-ssd-gray-sliver.html,mac24h.vn
"Macbook Pro 13 inch 2020 Quad Core I5 1.4Ghz 8GB 256GB  (MXK32, MXK62)",29.500.000,29.500.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics 645,Turbo Boost up to 3.9GHz,8GB 2133MHz LPDDR3 memory,256GB SSD storage¹,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Two Thunderbolt 3 ports,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i5-1.4ghz-8gb-256gb.html,mac24h.vn
Macbook Air 2020 13 inch Core I5 8GB 256GB ( Z0YJ0 - CTO ) New 99% FullBox,21.900.000,21.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics & Retina display with True Tone,Turbo Boost up to 3.5GHz,8GB 3733MHz LPDDR4X memory,256GB SSD storage¹,,Magic Keyboard ,Touch ID,Force Touch trackpad,https://mac24h.vn/macbook-air-2020-13-inch-core-i5-8gb-256gb-z0yj0-cto-new-99-fullbox.html,mac24h.vn
Macbook Pro 13 inch 2019 MV972 Core I7 2.8Ghz 16GB 1000GB SSD New 100%,44.900.000,44.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics 655,Turbo Boost up to 4.6Ghz,16GB 2133MHz LPDDR3 memory,1000GB SSD storage1,Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-13-inch-2019-mv972-core-i7-2.8ghz-16gb-1000gb-ssd-new-100.html,mac24h.vn
"Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 512GB SSD   (MGN73,MGNA3,MGNE3 )",29.500.000,29.500.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, ‑core GPU, and 16‑core Neural Engine",Magic Keyboard,8GB unified memory,512GB SSD storage¹,Retina display with True Tone,Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/macbook-air-13-inch-2020-apple-m1-8-core-cpu-8gb-512gb-ssd-mgn73-mgna3-mgne3.html,mac24h.vn
【CTO】Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 16GB / 1TB SSD,42.700.000,42.700.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine",Magic Keyboard,16GB unified memory,1TB SSD storage¹,Retina display with True Tone,Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-2tb-ssd-en.html,mac24h.vn
"Macbook Air 2020 13 inch Core I5 8GB 512GB (MVH22 , MVH42, MVH52)",,,Phí giao hàng: 0 đ,Intel Iris Plus Graphics & Retina display with True Tone,Turbo Boost up to 3.5GHz,8GB 3733MHz LPDDR4X memory,512GB SSD storage¹,,Magic Keyboard ,Touch ID,Force Touch trackpad,https://mac24h.vn/macbook-air-2020-13-inch-core-i5-8gb-512gb.html,mac24h.vn
Macbook Pro 13 inch 2020 Quad Core I7 2.3Ghz 32GB 1000GB,50.900.000,50.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Magic Keyboard,32GB 3733MHz LPDDR4X memory,1000GB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/macbook-pro-13-inch-2020-quad-core-i7-2.3ghz-32gb-1000gb.html,mac24h.vn
"Macbook Air M1 13 inch 2020 - Apple M1 8-Core CPU / 8GB / 256GB SSD    (MGN63,MGN93,MGND3 )",24.700.000,24.700.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, 7‑core GPU, and 16‑core Neural Engine", :  ,8GB unified memory || (,256GB SSD storage¹,Retina display with True Tone, ) ,Magic Keyboard,Touch ID,https://mac24h.vn/macbook-air-13-inch-2020-apple-m1-8-core-cpu-8gb-256gb-ssd-mgn63-mgn93-mgnd3.html,mac24h.vn
