name,price_sale,cpu,ram,Màn hình:,Card màn hình:,rom,Kích thước và trọng lượng:,Camera:,Cổng kết nối:,Pin và sạc:,url,website
MacBook Pro 2020 13 inch (MYD92/MYDC2) Apple M1 8GB RAM 512GB SSD – NEW,35.790.000 ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",8GB,13-inch Retina display with True Tone,8-core GPU,512GB SSD,3.0 pounds (1.4 kg),720p FaceTime HD,Two Thunderbolt 3 ports,Built-in 58.2-watt-hour lithium-polymer battery 61W USB-C Power Adapter,https://macone.vn/macbook-pro-2020-13-inch-myd92-mydc2-apple-m1-8gb-ram-512gb-ssd-new/,macone.vn
MacBook Pro 2020 13 inch (MYD82/MYDA2) Apple M1 8GB RAM 256GB SSD – NEW,30.990.000 ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",8GB,13-inch Retina display with True Tone,8-core GPU,256GB SSD,3.0 pounds (1.4 kg),720p FaceTime HD,Two Thunderbolt 3 ports,Built-in 58.2-watt-hour lithium-polymer battery 61W USB-C Power Adapter,https://macone.vn/macbook-pro-2020-13-inch-myd82-myda2-apple-m1-8gb-ram-256gb-ssd-new/,macone.vn
MacBook Pro 2020 13 inch (MXK32/MXK62) Core i5 1.4GHz 8GB RAM 256GB SSD – Like New,26.300.000 ,"Intel Core i5 1.4GHz quad‑core 8th‑generation, Turbo Boost up to 3.9GHz",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 645,256GB SSD,1.4 kg,720p FaceTime HD,Two Thunderbolt 3 ports,58.2 W h Li-Poly,https://macone.vn/macbook-pro-2020-13-inch-mxk32-mxk62-core-i5-1-4ghz-256gb-8gb-ram-likenew/,macone.vn
MacBook Pro 2020 13 inch (MXK32/MXK62) Core i5 1.4GHz 8GB RAM 256GB SSD – NEW,29.690.000 ,"Intel Core i5 1.4GHz quad‑core 8th‑generation, Turbo Boost up to 3.9GHz",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 645,256GB SSD,1.4 kg,720p FaceTime HD,Two Thunderbolt 3 ports,58.2 W h Li-Poly,https://macone.vn/macbook-pro-13-inch-2020-mxk32-mxk62-two-thunderbolt-core-i5-1-4ghz-256gb-8gb-ram-new/,macone.vn
MacBook Air 2020 13 inch Core i5 1.1Ghz 8GB RAM 512GB SSD – Like New,23.900.000 ,1.1GHz quad-core 10th-generation Intel Core i5-1030G7 processor,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,512 GB,1.29 kg,720p FaceTime HD,Two Thunderbolt 3 (USB-C),Built-in 49.9‑watt‑hour; 30W USB-C Power Adapter,https://macone.vn/macbook-air-2020-13-inch-core-i5-512gb-8gb-ram-likenew/,macone.vn
MacBook Air 2020 13 inch Core i5 1.1Ghz 8GB RAM 512GB SSD – NEW,28.390.000 ,1.1GHz quad-core 10th-generation Intel Core i5-1030G7 processor,8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,512 GB,1.29 kg,720p FaceTime HD,Two Thunderbolt 3 (USB-C),Built-in 49.9‑watt‑hour; 30W USB-C Power Adapter,https://macone.vn/macbook-air-13-inch-2020-core-i5-512gb-8gb-ram-new/,macone.vn
MacBook Pro 2020 13 inch (MWP52/MWP82) Core i5 2.0GHz 16GB RAM 1TB SSD – NEW,44.490.000 ,"Intel Core i5 2.0GHz quad‑core 10th‑generation, Turbo Boost up to 3.8GHz",16GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,1TB SSD,1.4 kg,720p FaceTime HD,Four Thunderbolt 3 ports,58.2 W h Li-Poly,https://macone.vn/macbook-pro-13-inch-2020-mwp82-mwp52-four-thunderbolt-core-i5-2-0ghz-1tb-16gb-ram-new/,macone.vn
MacBook Pro 2020 13 inch (MWP42/MWP72) Core i5 2.0GHz 16GB RAM 512GB SSD – NEW,44.490.000 ,"Intel Core i5 2.0GHz quad‑core 10th‑generation, Turbo Boost up to 3.8GHz",16GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,512GB SSD,1.4 kg,720p FaceTime HD,Four Thunderbolt 3 ports,58.2 W h Li-Poly,https://macone.vn/macbook-pro-13-inch-2020-mwp42-mwp72-four-thunderbolt-core-i5-2-0ghz-512gb-16gb-ram-new/,macone.vn
MacBook Pro 2020 13 inch (MWP42/MWP72) Core i5 2.0GHz 16GB RAM  512GB SSD – Like New,34.200.000 ,"Intel Core i5 2.0GHz quad‑core 10th‑generation, Turbo Boost up to 3.8GHz",16GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics,512GB SSD,1.4 kg,720p FaceTime HD,Four Thunderbolt 3 ports,58.2 W h Li-Poly,https://macone.vn/macbook-pro-2020-13-inch-mwp42-mwp72-core-i5-2-0ghz-512gb-16gb-likenew/,macone.vn
MacBook Pro 2020 13 inch (MXK52/MXK72) Core i5 1.4GHz 8GB RAM 512GB SSD – Like New,28.300.000 ,"Intel Core i5 1.4GHz quad‑core 8th‑generation, Turbo Boost up to 3.9GHz",8GB,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Plus Graphics 645,512GB SSD,1.4 kg,720p FaceTime HD,Two Thunderbolt 3 ports,58.2 W h Li-Poly,https://macone.vn/macbook-pro-2020-13-inch-mxk52-mxk72-core-i5-1-4ghz-8gb-ram-512gb-ssd-likenew/,macone.vn
