product_name,price_sale,params_1,ram,gpu,display,params_2,params_3,params_4,params_5,params_6,params_7,params_8,url,website
Macbook 12 inch 2017 512Gb MNYN2,28.500.000 ,1.3 GHz Intel Core i5 Dual-Core,8GB of 1866MHz LPDDR3 RAM | 512GB SSD,Integrated Intel HD Graphics 615,12″ 2304 x 1440 IPS Display,USB 3.0 Type-C Port,802.11ac Wi-Fi | Bluetooth 4.2,Force Touch Trackpad,Stereo Speakers | Dual Mics,"Slim, Compact Design",macOS Sierra,BẢO HÀNH 2 NĂM.,https://macstores.vn/macbook-12-inch-2017-512gb-mnyn2-2.html,macstores.vn
MWP52 / MWP82 – Macbook Pro 13 inch 2020 – 1TB – 4 thunderbolt Newseal Fullbox,46.000.000 ,Turbo Boost up to 3.8GHz,RAM: 16GB 3733MHz LPDDR4X memory,VGA: Intel Iris Plus Graphics,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,,,,https://macstores.vn/mwp52-mwp82-macbook-pro-13-inch-2020-1tb-4-thunderbolt-newseal-fullbox.html,macstores.vn
MV912 – MacBook Pro 2019 15 inch – New (Gray/I9/16GB/512GB) Apple Care,52.000.000 ,Tình trạng: Mới Nguyên Seal,RAM: 16GB of 2400 MHz DDR4 RAM | 512GB SSD,GPU: AMD Radeon Pro 560X GPU (4GB GDDR5),Màn hình: 15.4″ 2880 x 1800 Retina Display,Màu: Space Gray,True Tone Technology,Wi-Fi 5 (802.11ac) | Bluetooth 5.0,Touch Bar | Touch ID Sensor,Interface: 4 x Thunderbolt 3 (USB Type-C) Ports,Force Touch Trackpad,macOS,https://macstores.vn/mv912-macbook-pro-2019-15-inch-new-grayi916gb512gb-apple-care.html,macstores.vn
MWP42 / MWP72 – Macbook Pro 13 inch 2020 – 512Gb – 4 thunderbolt Newseal Fullbox,42.000.000 ,Turbo Boost up to 3.8GHz,RAM: 16GB 3733MHz LPDDR4X memory,VGA: Intel Iris Plus Graphics,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,,,,https://macstores.vn/macbook-pro-2020-13-inch-512gb-4-thunderbolt.html,macstores.vn
CTO – Macbook Pro 13 inch 2020 – (Gray/I7-2.3GHz/16GB/512GB),49.000.000 ,Turbo Boost up to 3.8GHz,RAM: 16GB 3733MHz LPDDR4X memory,VGA: Intel Iris Plus Graphics,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,,,,https://macstores.vn/cto-macbook-pro-13-inch-2020-i7-16gb-512gb.html,macstores.vn
MF843 – Macbook Pro Retina 2015 13 inch 99% – Core i7/512GB/16GB,25.000.000 ,Ổ cứng SSD: 512 GB,RAM: 16GB 1866MHz LPDDR3 SDRAM,Graphics: Integrated Intel Graphics 6100,"Màn hình: 13,3 inch RETINA",Điểm hiệu năng: 6.22 MS,Độ Phân Giải : 2560 x 1600,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Hệ điều hành : Mac OS X Yosimite,"Bảo hành 6 tháng, đổi trả trong 15 ngày",https://macstores.vn/macbook-pro-retina-mf843.html,macstores.vn
MF843 – Macbook Retina 2015 13 inch – Core i7/16GB/512GB New 98%,23.000.000 ,Ổ cứng SSD: 512 GB,RAM: 16GB 1866MHz LPDDR3 SDRAM,Graphics: Integrated Intel Graphics 6100,"Màn hình: 13,3 inch RETINA",Điểm hiệu năng: 6.22 MS,Độ Phân Giải : 2560 x 1600,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Hệ điều hành : Mac OS X Yosimite,"Bảo hành 6 tháng, đổi trả trong 15 ngày",https://macstores.vn/macbook-pro-retina-mf843-98.html,macstores.vn
MF840 – Macbook Pro 2015 13 inch – (Core i5/Ram 16GB/SSD 256GB/Likenew),20.500.000 ,2.7 GHz Intel Core i5 (Broadwell),16GB of Onboard 1866 MHz LPDDR3 RAM,Integrated Intel Iris Graphics 6100,13.3″ LED-Backlit IPS Retina Display,2560 x 1600 Native Resolution,"802.11a/b/g/n/ac Wi-Fi, Bluetooth 4.0","Thunderbolt 2, USB 3.0, HDMI",Force Touch Trackpad,Mac OS X 10.10 Yosemite,"– Bảo hành 06 tháng, đổi trả trong 7 ngày",– Giảm giá 20% phụ kiện ,https://macstores.vn/macbook-pro-retina-mf840.html,macstores.vn
MF841 – Macbook Pro Retina 2015 13 inch 99% – Core i5/512GB/8GB,21.000.000 ,Hệ điều hành: Mac OS X 10.10 Yosemite,Ram: 8GB of Onboard 1866 MHz LPDDR3,Đồ hoạ: Integrated Intel Iris Graphics 6100,Màn hình : 13.3″ LED-Backlit IPS Retina Display – 2560×1600,Điểm hiệu năng: 6.53MS,"Khe cắm: Thunderbolt 2, USB 3.0, HDMI",WiFi: 802.11a/b/g/n/ac Wi-Fi,Bluetooth: Bluetooth 4.0,– ,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,"– Bảo hành 12 tháng, đổi trả trong 15 ngày",https://macstores.vn/macbook-pro-retina-mf841.html,macstores.vn
MXK52 / MXK72 – Macbook Pro 13 inch 2020 – 512Gb – 2 thunderbolt – Newseal Fullbox,36.000.000 ,Turbo Boost up to 3.9GHz,RAM: 8GB 2133MHz LPDDR3 memory,VGA: Intel Iris Plus Graphics 645,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Two Thunderbolt 3 ports,,,,,https://macstores.vn/macbook-pro-13-inch-2020-512gb-2-thunderbolt.html,macstores.vn
Macbook Pro Retina MC976 97%,14.500.000 ,– Ổ cứng SSD: 512Gb,– Ram Option: 8GB of 1600 MHz DDR3,– Graphic: Intel HD Graphics 4000 + NVIDIA GeForce GT 650M 1GB GDDR5,,"– Màn hình: 15.4″, Độ phân giải 2880 x 1800 pixel",– Độ Phân Giải : 2880 x 1800,"– Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","– Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","– Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",– Hệ điều hành : Mac OS X Mavericks,– Tặng kèm ba lô trị giá 500.000đ,https://macstores.vn/macbook-pro-retina-mc976-97.html,macstores.vn
MJLQ2 – Macbook Pro Retina 2015 15 inch SSD 256GB/Ram 16GB/ New 98%,23.500.000 ,Ổ cứng SSD: 256 GB,RAM: 16 GB 1600MHz DDR3L,Graphics: Integrated Intel Iris Graphics,Màn hình Retina 15.4 inch. Độ phân giải : 2880 x 1800,Điểm hiệu năng: 5.84MS,"Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","Khe Cắm : Thunderbolt 2, USB 3.0, HDMI","Thiết bị nghe nhìn : FaceTime HD Camera, Dual Mics",Force Touch Trackpad,Hệ điều hành : Mac OS X Yosimite,"Bảo hành 06 tháng, đổi trả trong 15 ngày",https://macstores.vn/macbook-pro-retina-mjlq2-option-2-2ghz.html,macstores.vn
MacBook Pro MLW72 (silver) 97%,27.000.000 ,SSD: 256GB PCIe,Ram: 16GB of 2133 MHz,Đồ hoạ: AMD Radeon Pro 450 GPU (2GB GDDR5),Màn hình: 15.4″ 2880 x 1800 Retina Display,Điểm hiệu năng: 8.34 MS,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,https://macstores.vn/macbook-pro-mlw72-silver-97.html,macstores.vn
Macbook Pro MF840 – (Core i5/Ram 8GB/SSD 256GB/Likenew),18.800.000 ,2.7 GHz Intel Core i5 (Broadwell),8GB of Onboard 1866 MHz LPDDR3 RAM,Integrated Intel Iris Graphics 6100,13.3″ LED-Backlit IPS Retina Display,2560 x 1600 Native Resolution,"802.11a/b/g/n/ac Wi-Fi, Bluetooth 4.0","Thunderbolt 2, USB 3.0, HDMI",Force Touch Trackpad,Mac OS X 10.10 Yosemite,"Bảo hành 06 tháng, đổi trả trong 7 ngày",Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-mf840-ram-8gb.html,macstores.vn
MacBook Pro MNQG2 Core i5/8G/512Gb – 99%,26.000.000 ,2.9 GHz Intel Core i5 Dual-Core,8GB of 2133 MHz RAM | 512GB PCIe SSD,Integrated Intel Iris Graphics 550,13.3″ 2560 x 1600 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,– ,https://macstores.vn/macbook-pro-mnqg2-99.html,macstores.vn
MacBook Pro MNQF2 i5/8G/512Gb – 99%,26.000.000 ,2.9 GHz Intel Core i5 Dual-Core,8GB of 2133 MHz RAM | 512GB PCIe SSD,Integrated Intel Iris Graphics 550,13.3″ 2560 x 1600 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,– ,https://macstores.vn/macbook-pro-mnqf2-99.html,macstores.vn
