bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,Core i5 Dual-Core,,,https://www.techone.vn/macbook-air-13-256gb-space-gray-2018-mre92.html,Macbook Air 13″ 256GB Space Gray 2018,,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,,,,,"13.3""",IPS,,,,intel,1.25 kg,
,,Core i5 Dual-Core,,,https://www.techone.vn/macbook-air-13-128gb-gold-2018-mree2.html,Macbook Air 13″ 128GB Gold 2018,,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",23.150.000,,,,,"13.3""",IPS,,,,intel,1.25 kg,
,,Core i5 Dual-Core,,,https://www.techone.vn/macbook-air-13-256gb-gold-2018-mref2.html,Macbook Air 13″ 256GB Gold 2018,,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,,,,,"13.3""",IPS,,,,intel,1.25 kg,
,,Core i5 Dual-Core,,,https://www.techone.vn/macbook-air-13-256gb-silver-2018-mrec2.html,Macbook Air 13″ 256GB Silver 2018,,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,,,,,"13.3""",IPS,,,,intel,1.25 kg,
,,Core i5 Dual-Core,,,https://www.techone.vn/macbook-air-13-128gb-silver-2018-mrea2.html,Macbook Air 13″ 128GB Silver 2018,,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",22.450.000,,,,,"13.3""",IPS,,,,intel,1.25 kg,
,,Core i5 Dual-Core,,,https://www.techone.vn/macbook-air-13-128gb-space-gray-2018-mre82.html,Macbook Air 13″ 128GB Space Gray 2018,,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",22.350.000,,,,,"13.3""",IPS,,,,intel,1.25 kg,
,,,,,https://www.techone.vn/macbook-pro-16-inch-1tb-2019-mvvk2-chinh-hang-xam.html,Macbook Pro 16 inch 1TB 2019,,,4 x Thunderbolt 3 (USB-C),58.590.000,,,,,16 inch,"Tấm nền IPS, LED Backlit",,,,"Dolby Atmos, High‑fidelity six‑speaker",2.0 kg,
,,,,,https://www.techone.vn/macbook-pro-16-inch-1tb-2019-mvvm2-chinh-hang-bac.html,Macbook Pro 16 inch 1TB 2019,,,4 x Thunderbolt 3 (USB-C),58.590.000,,,,,16 inch,"Tấm nền IPS, LED Backlit",,,,"Dolby Atmos, High‑fidelity six‑speaker",2.0 kg,
,,Core i7,,,https://www.techone.vn/macbook-pro-15-inch-touch-bar-512gb-silver-mr972.html,MacBook Pro 15 inch Touch Bar 512GB Silver (MR972),,,4x USB 3.1 Gen 2 (lên đến 10 Gbps),57.190.000,,,,,15.4-inch,Retina,,,,intel,"1,83",
,,,,,https://www.techone.vn/macbook-pro-16-inch-512gb-2019-mvvl2-chinh-hang-bac.html,Macbook Pro 16 inch 512GB 2019,,,4 x Thunderbolt 3 (USB-C),51.690.000,,,,,16 inch,"Tấm nền IPS, LED Backlit",,,,"Dolby Atmos, High‑fidelity six‑speaker",2.0 kg,
