name,price_sale,cpu,ram,Màn hình:,Card màn hình:,rom,Kích thước và trọng lượng:,Camera:,Cổng kết nối:,Pin và sạc:,url,website
Macbook 12 inch 2015 Core M 256GB 8GB RAM - Cũ,"14,950,000 ","Core M 1.1GHz, Intel","8 GB, DDR3","12 inch, Retina",Intel HD Graphic 5300,SSD 256GB,920(g), , ,Battery 39.7 Watt-hour (Wh),/macbook-12-inch/macbook-12-inch-2015-core-m-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook 12 inch 2017 Core i5 512GB 8GB RAM Cũ,"20,450,000 ",,8GB,,,512GB,,,,,/macbook-12-inch/macbook-12-inch-2017-core-i5-512gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Air 13 inch 2016 Core i7 128GB 8GB RAM Cũ,"15,850,000 ",CPU 2.2 GHz Intel Core i7 (Broadwell),Ram 8GB of 1600 MHz LPDDR3,Màn hình 13.3″ LED-Backlit Glossy Display1440 x 900 Native Resolution,VGA Integrated Intel HD Graphics 6000,SSD 128GB PCIe-Based Flash Storage, ,"720p FaceTime HD Camera, SDXC Card Slot","USB 3.0, Thunderbolt 2",,/macbook-air/macbook-air-13-inch-2016-core-i7-128gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Air 13 inch 2016 Core i7 512GB 8GB RAM Cũ,"17,500,000 ",CPU 2.2 GHz Intel Core i7 (Broadwell),Ram 8GB of 1600 MHz LPDDR3,Màn hình 13.3″ LED-Backlit Glossy Display1440 x 900 Native Resolution,VGA Integrated Intel HD Graphics 6000,SSD 512GB PCIe-Based Flash Storage,1.7 x 32.5 x 22.7 cm - 1.35 kg,"720p FaceTime HD Camera, SDXC Card Slot","USB 3.0, Thunderbolt 2",,/macbook-air/macbook-air-13-inch-2016-core-i7-512gb-8gb-ram-cu.html,truesmart.com.vn
Macbook 12 inch 2016 Core M5 512GB 8GB RAM - Cũ,"18,450,000 ",1.2 GHz dual-core Intel Core M-5Y31,"8 GB, LPDDR3, 1600MHz","12 inch, Retina",Intel HD Graphics 5300,SSD 512GB,920(g), , ,,/macbook-12-inch/macbook-12-inch-2016-core-m5-512gb-8gb-ram-cu.html,truesmart.com.vn
Macbook 12 inch 2016 Core M 256GB 8GB RAM Cũ,"16,750,000 ","Dual-core 1.1 GHz, Intel","8 GB, LPDDR3, 1600MHz","12 inch, Retina",Intel HD Graphics 515,SSD 256GB,920(g), , ,,/macbook-12-inch/macbook-12-inch-2016-core-m-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook 12 inch 2017 Core M3 256GB 8GB RAM Cũ,"18,250,000 ",,8GB,,,256GB,,,,,/macbook-12-inch/macbook-12-inch-2017-core-m3-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook 12 inch 2018 Core M3 256GB 8GB RAM Cũ,"18,450,000 ",1.2GHz dual-core 7th-generation Intel Core m3 processor,8GB 1866MHz LPDDR3 memory,12-inch (diagonal) LED-backlit display with IPS technology,Intel HD Graphics 615,256GB SSD storage1,1.31 x 28.05 x 9.65 - 0.92 kg,720p FaceTime camera,1 USB-C port,Built-in 41.4-watt-hour lithium-polymer battery. 30W USB-C Power Adapter,/macbook-12-inch/macbook-12-inch-2018-core-m3-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Pro 16 inch 2019 (Core i9/ 16Gb/ 1TB) NEW,"63,950,000 ",2.3GHz 8-core 9th-generation Intel Core i9 processor,16GB,16-inch 3072x1920 Retina display with True Tone,AMD Radeon Pro 5500M with 4GB of GDDR6 memory,1TB SSD,"nặng 1,95 kg",720p FaceTime HD,Four Thunderbolt 3 ports,96W h Li-Poly,/macbook-pro/macbook-pro-16-inch-2019-core-i9-16gb-1tb-new.html,truesmart.com.vn
Macbook Pro 16 inch 2019 (Core i7/ 16Gb/ 512GB) NEW,"55,950,000 ",2.6GHz 6-core 9th-generation Intel Core i7 processor,16GB,16-inch 3072x1920 Retina display with True Tone,AMD Radeon Pro 5300M with 4GB of GDDR6 memory,"SSD, 512 GB","nặng 1,95 kg",720p FaceTime HD,Four Thunderbolt 3 ports,96W h Li-Poly,/macbook-pro/macbook-pro-16-inch-2019-core-i7-16gb-512gb-new.html,truesmart.com.vn
