bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/macbook-air-2020-m1.html,MacBook Air M1 256GB 2020,macOS Big Sur,,2 cổng Thunderbolt / USB 4,26.200.000 ₫,8GB,,2560 x 1600 pixels (2K),256GB SSD,13.3 inches,Độ sáng 400 nits ,,1.61 cm x 30.41 cm x 21.24 cm,,,1.29 kg,802.11ax Wi-Fi 6 wireless networking
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb-512gb.html,MacBook Pro 13 Touch Bar M1 16GB 512GB 2020,macOS Big Sur,,2 cổng Thunderbolt / USB 4 ports,43.990.000 ₫,16GB,,Retina,512GB SSD,13.3 inches,Độ sáng 500 nits ,,1.56 cm x 30.41 cm x 21.24 cm,,,1.4 kg,802.11ax Wi-Fi 6
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/mac-mini-2020-m1-16gb.html,Mac mini M1 16GB 256GB 2020,macOS Big Sur,,"2 cổng Thunderbolt / USB 4 hỗ trợ: Sạc nhanh, Thunderbolt 3, USB 4, USB 3.1 Gen 2",24.500.000 ₫,16GB,,,256GB SSD,,,,3.6 cm x 19.7 cm x 19.7 cm,,,1.2 kg,802.11ax Wi-Fi 6
Bluetooth 5.0,,"Intel Core i3 2 nhân, công nghệ Turbo Boost tối đa 3.2GHz, với bộ nhớ đệm L3 cache 4MB",,,https://cellphones.com.vn/apple-macbook-air-13-2020-256-gb.html,MacBook Air 13 256GB 2020,macOS,,"2 cổng Thunderbolt 3 (USB-C) hỗ trợ các tính năng: Sạc, DisplayPort, Thunderbolt, USB 3.1 Gen 2",22.990.000 ₫,8GB,,2560 x 1600 pixels (2K),256GB SSD,13.3 inches,True-Tone,,0.41–1.61cm x 30.41cm x 21.24cm,,,1.29kg,802.11ac Wi-Fi
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/macbook-air-2020-m1-16gb.html,MacBook Air M1 16GB 256GB 2020,macOS Big Sur,,2 cổng Thunderbolt / USB 4,30.500.000 ₫,16GB,,2560 x 1600 pixels (2K),256GB SSD,13.3 inches,Độ sáng 400 nits ,,1.61 cm x 30.41 cm x 21.24 cm,,,1.29 kg,802.11ax Wi-Fi 6 wireless networking
Bluetooth 5.0,,Apple M1 8 nhân,,,https://cellphones.com.vn/imac-2021.html,Mac 24 2021,macOS,,2 cổng Thunderbolt / USB 4 hỗ trợ:,33.990.000 ₫,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",,4480 x 2520 (4.5K),256GB SSD,24 inches,Độ sáng 500 nit,,54.7 x 46.1 x 1.15 cm (Dài x cao x dày),,,4.46kg,"802.11ax Wi-Fi 6, tương thích IEEE 802.11a/b/g/n/ac"
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-512gb.html,MacBook Pro 13 Touch Bar M1 512GB 2020,macOS Big Sur,,2 cổng Thunderbolt / USB 4 ports,35.900.000 ₫,8GB,,Retina,512GB SSD,13.3 inches,Độ sáng 500 nits ,,1.56 cm x 30.41 cm x 21.24 cm,,,1.4 kg,802.11ax Wi-Fi 6
Bluetooth 5.0,,Apple M1 8 nhân,,,https://cellphones.com.vn/imac-2021-8gpu-512gb.html,Mac 24 2021,macOS,,"2 cổng Thunderbolt / USB 4 hỗ trợ:DisplayPort, Thunerderbolt 3, USB 4, USB 3.1 Gen 2",44.990.000 ₫,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",,4480 x 2520 (4.5K),512GB SSD,24 inches,Độ sáng 500 nit,,54.7 x 46.1 x 1.15 cm (Dài x cao x dày),,,4.46kg,"802.11ax Wi-Fi 6, tương thích IEEE 802.11a/b/g/n/ac"
,,,,,https://cellphones.com.vn/macbook-pro-14-inch-2021.html,Macbook Pro 14 inch 2021,,,,,,,Retina,,,,,,,,,
Bluetooth 5.0,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,https://cellphones.com.vn/macbook-air-2020-m1-16gb-512gb.html,MacBook Air M1 16GB 512GB 2020,macOS Big Sur,,2 cổng Thunderbolt / USB 4,38.000.000 ₫,8GB,,2560 x 1600 pixels (2K),512GB SSD,13.3 inches,Độ sáng 400 nits ,,1.61 cm x 30.41 cm x 21.24 cm,,,1.29 kg,802.11ax Wi-Fi 6 wireless networking
