name,color,status,resolution,screentech,screensize,rear_cam,front_cam,pin,sim,cpu,ram,rom,os,gpu,size,weight,tech,wifi,bluetoorh,port,price,link
MacBook Pro 2020 13 inch – MYD82 – Grey – Apple M1 8GB RAM 256GB SSD,gray,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Pin liền,No,Undefinded,Undefinded,256gb,MacOS,card onboard,undefined,1.3,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,29.890.000,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-myd82-grey.html
MacBook Pro 2020 13 inch – MYDC2 – Silver – Apple M1 8GB RAM 512GB SSD,silver,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Pin liền,No,Undefinded,Undefinded,512gb,MacOS,card onboard,undefined,1.3,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,34.090.000,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-mydc2-silver.html
MacBook Pro 2020 13 inch – MYD92 – Grey – Apple M1 8GB RAM 512GB SSD,gray,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Pin liền,No,Undefinded,Undefinded,512gb,MacOS,card onboard,undefined,1.3,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,34.090.000,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-myd92-grey.html
Macbook new 256Gb (2018) (Gold)- MRQN2,gold,new,"2304-by-1440 resolution at 226 pixels per inch with support for millions of colors; 16:10 aspect ratio; Supported scaled resolutions: (1440 by 900, 1280 by 800, 1024 by 640)",retina,12-inch (diagonal),720p FaceTime HD camera,No,29W USB-C Power Adapter,No,Intel 1.3GHZ Core i5 (1.2GHz) Intel UHD Graphics 630,8GB LPDDR3 1866MHz,256Gb SSD,MacOS,Intel UHD Graphics 630,19.65 x 28.05 x 1.31 cm x 19.65 x 28.05 x 1.31 cm x 19.65 x 28.05 x 1.31 cm,920g,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),19.490.000,https://www.techone.vn/macbook-new-256gb-2018-gold-mrqn2.html
The New macbook (2017) 12″ – MNYN2 – Rose Gold – 2017,rose gold,new,"2304-by-1440 resolution at 226 pixels per inch with support for millions of colors; 16:10 aspect ratio; Supported scaled resolutions: (1440 by 900, 1280 by 800, 1024 by 640)",retina,12-inch (diagonal),720p FaceTime HD camera,No,29W USB-C Power Adapter,No,intel Core i5 processor Core i5 processor 1.3GHZ Core i5 Intel HD Graphics 615,8GB LPDDR3 1866MHz,512GB PCIe-based onboard flash storage,MacOS,Intel HD Graphics 615,undefined,920g,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),33.490.000,https://www.techone.vn/the-new-macbook-2017-12-mnyn2-rose-gold-2017.html
The New Macbook (2017) 12” – 256GB – MNYH2 – Silver,silver,new,"2304-by-1440 resolution at 226 pixels per inch with support for millions of colors; 16:10 aspect ratio; Supported scaled resolutions: (1440 by 900, 1280 by 800, 1024 by 640)",retina,12-inch (diagonal),720p FaceTime HD camera,No,29W USB-C Power Adapter,No,intel dual-core Intel Core M3 processor 1.2GHz Core i5 Intel HD Graphics 615,8GB LPDDR3 1866MHz,256GB PCIe-based onboard flash storage,MacOS,Intel HD Graphics 615,undefined,920g,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),19.490.000,https://www.techone.vn/the-new-macbook-2017-12-256gb-mnyh2-silver.html
MacBook Pro 15″ Touch Bar 256GB MPTU2 (2017) SILVER,silver,new,2880-by-1800 native resolution at 220 pixels per inch,retina,15.4-inch (diagonal) LED-backlit display with IPS technology;,720p FaceTime HD camera,No,87W,No,Intel quad-core Intel Core i7 processor 2.8GHz Radeon Pro 555 with 2GB memory,16GB onboard memory LPDDR3 2133MHz,256GB PCIe-based onboard SSD,MacOS,Radeon Pro 555 with 2GB memory,34.93 x 24.07 x 1.55,"1,83",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Four Thunderbolt 3 ports,47.990.000,https://www.techone.vn/macbook-pro-15-touch-bar-256gb-mptu2-2017-silver.html
MacBook Pro 2020 13 inch – MYDA2 – Silver – Apple M1 8GB RAM 256GB SSD,silver,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,Pin liền,No,Undefinded,Undefinded,256gb,MacOS,card onboard,undefined,1.3,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,29.890.000,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-myda2-silver.html
Macbook Air 13″ 256GB Space Gray (2018) MRE92,space gray,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,50.3 Wh Non-Removable,No,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,8gb LPDDR3 SDRAM 2133MHz,256GB,MacOS,Intel UHD Graphics 617,30.5 x 30.5 x 1.5,1.25 kg,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,https://www.techone.vn/macbook-air-13-256gb-space-gray-2018-mre92.html
Macbook Air 13″ 256GB Gold (2018) MREF2,gold,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,50.3 Wh Non-Removable,No,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,8gb LPDDR3 SDRAM 2133MHz,256GB,MacOS,Intel UHD Graphics 617,30.5 x 30.5 x 1.5,1.25 kg,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,https://www.techone.vn/macbook-air-13-256gb-gold-2018-mref2.html
